"","len","freq","err","condition","pred"
"52","4","0.02","0","X[,2]<=3 & X[,3]>2.7 & X[,3]<=4.85 & X[,4]>1.65","virginica"
"53","4","0.007","0","X[,2]>3 & X[,3]>2.7 & X[,3]<=4.85 & X[,4]>1.65","versicolor"
"54","4","0.007","0","X[,3]>2.7 & X[,3]>4.85 & X[,4]>1.65 & X[,4]<=1.75","versicolor"
"55","4","0.287","0","X[,3]>2.7 & X[,3]>4.85 & X[,4]>1.65 & X[,4]>1.75","virginica"
"56","4","0.32","0.021","X[,3]<=5.45 & X[,3]<=5 & X[,4]>0.75 & X[,4]<=1.65","versicolor"
"57","5","0.007","0","X[,2]<=2.75 & X[,3]<=5.45 & X[,3]>5 & X[,4]>0.75 & X[,4]<=1.65","versicolor"
"58","5","0.007","0","X[,2]>2.75 & X[,3]<=5.45 & X[,3]>5 & X[,4]>0.75 & X[,4]<=1.65","virginica"
"59","3","0.013","0","X[,3]>5.45 & X[,4]>0.75 & X[,4]<=1.65","virginica"
"60","4","0.04","0","X[,2]<=2.85 & X[,3]<=5.05 & X[,4]>0.75 & X[,4]>1.65","virginica"
"61","6","0.007","0","X[,2]>2.85 & X[,2]<=3.1 & X[,3]<=5.05 & X[,4]>0.75 & X[,4]>1.65 & X[,4]<=1.75","versicolor"
"62","6","0.013","0","X[,2]>2.85 & X[,2]<=3.1 & X[,3]<=5.05 & X[,4]>0.75 & X[,4]>1.65 & X[,4]>1.75","virginica"
"63","5","0.007","0","X[,2]>2.85 & X[,2]>3.1 & X[,3]<=5.05 & X[,4]>0.75 & X[,4]>1.65","versicolor"
"64","3","0.253","0","X[,3]>5.05 & X[,4]>0.75 & X[,4]>1.65","virginica"
"65","3","0.313","0","X[,3]<=4.95 & X[,4]>0.75 & X[,4]<=1.65","versicolor"
"66","4","0.04","0","X[,2]<=3.1 & X[,3]<=4.95 & X[,4]>0.75 & X[,4]>1.65","virginica"
"67","4","0.007","0","X[,2]>3.1 & X[,3]<=4.95 & X[,4]>0.75 & X[,4]>1.65","versicolor"
"68","5","0.013","0","X[,2]<=2.75 & X[,3]>4.95 & X[,4]>0.75 & X[,4]<=1.7 & X[,4]<=1.55","virginica"
"69","5","0.007","0","X[,2]<=2.75 & X[,3]>4.95 & X[,4]>0.75 & X[,4]<=1.7 & X[,4]>1.55","versicolor"
"70","4","0.02","0.333","X[,2]>2.75 & X[,3]>4.95 & X[,4]>0.75 & X[,4]<=1.7","virginica"
"71","3","0.267","0","X[,3]>4.95 & X[,4]>0.75 & X[,4]>1.7","virginica"
"72","3","0.32","0.021","X[,3]<=4.95 & X[,4]>0.8 & X[,4]<=1.75","versicolor"
"73","4","0.02","0","X[,3]>4.95 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]<=1.55","virginica"
"74","5","0.013","0","X[,3]>4.95 & X[,3]<=5.45 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]>1.55","versicolor"
"75","5","0.007","0","X[,3]>4.95 & X[,3]>5.45 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]>1.55","virginica"
"76","4","0.013","0","X[,2]<=3.1 & X[,3]<=4.85 & X[,4]>0.8 & X[,4]>1.75","virginica"
"77","4","0.007","0","X[,2]>3.1 & X[,3]<=4.85 & X[,4]>0.8 & X[,4]>1.75","versicolor"
"78","3","0.287","0","X[,3]>4.85 & X[,4]>0.8 & X[,4]>1.75","virginica"
"79","3","0.293","0","X[,3]>2.7 & X[,3]<=4.75 & X[,4]<=1.65","versicolor"
"80","3","0.007","0","X[,3]>2.7 & X[,3]<=4.75 & X[,4]>1.65","virginica"
"81","4","0.027","0.25","X[,3]>2.7 & X[,3]>4.75 & X[,3]<=5 & X[,4]<=1.55","versicolor"
"82","4","0.013","0","X[,3]>2.7 & X[,3]>4.75 & X[,3]>5 & X[,4]<=1.55","virginica"
"83","3","0.327","0.0610000000000001","X[,3]>2.7 & X[,3]>4.75 & X[,4]>1.55","virginica"
"84","3","0.347","0.0580000000000001","X[,3]>2.45 & X[,3]<=5.3 & X[,4]<=1.75","versicolor"
"85","3","0.013","0","X[,3]>2.45 & X[,3]>5.3 & X[,4]<=1.75","virginica"
"86","2","0.307","0.022","X[,3]>2.45 & X[,4]>1.75","virginica"
"87","4","0.007","0","X[,3]>2.45 & X[,3]>4.95 & X[,3]<=5.05 & X[,4]<=1.65","virginica"
"88","5","0.013","0.5","X[,3]>2.45 & X[,3]>4.95 & X[,3]>5.05 & X[,3]<=5.45 & X[,4]<=1.65","versicolor"
"89","5","0.013","0","X[,3]>2.45 & X[,3]>4.95 & X[,3]>5.05 & X[,3]>5.45 & X[,4]<=1.65","virginica"
"90","2","0.32","0.042","X[,3]>2.45 & X[,4]>1.65","virginica"
"91","4","0.333","0.04","X[,3]<=5.35 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]<=1.65","versicolor"
"92","5","0.007","0","X[,2]<=2.75 & X[,3]<=5.35 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]>1.65","virginica"
"93","5","0.007","0","X[,2]>2.75 & X[,3]<=5.35 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]>1.65","versicolor"
"94","3","0.02","0.333","X[,3]<=4.85 & X[,4]>0.8 & X[,4]>1.75","virginica"
"95","3","0.3","0","X[,3]>2.45 & X[,3]<=4.85 & X[,4]<=1.65","versicolor"
"96","4","0.007","0","X[,3]>2.45 & X[,3]<=4.85 & X[,3]<=4.65 & X[,4]>1.65","virginica"
