,len,freq,err,condition,pred,Acc,new_standard
1206,1,0.844,0.203,"TC_SND_S %in% c('1','3')",0,0.797,0.672668
1462,1,0.848,0.207,"PA_SWD_S %in% c('1','3','4','5','6','7','8','9','10','11','12','13','14')",0,0.793,0.672464
4222,1,0.838,0.198,"E_EDU_F %in% c('1','3','4','8888')",0,0.802,0.672076
3857,1,0.849,0.209,"O_BR_S %in% c('2','3','4')",0,0.791,0.671559
3175,1,0.849,0.21,"F_VEG %in% c('1','3','4','5','6','7')",0,0.79,0.67071
4911,1,0.842,0.204,"PA_TOT %in% c('1','2','4','5','6','7','8')",0,0.796,0.670232
4698,1,0.843,0.206,"E_EDU_F %in% c('2','3','8888')",0,0.794,0.669342
1595,1,0.84,0.208,"HW_S_R %in% c('1','2','3','4','6','8','10')",0,0.792,0.66528
470,1,0.824,0.193,"PR_HT %in% c('1','2','4','5')",0,0.807,0.664968
725,1,0.833,0.203,"PA_VIG %in% c('1','3','4','5','6')",0,0.797,0.663901
1068,1,0.82,0.192,"PR_HT %in% c('1','2','4')",0,0.808,0.66256
818,1,0.833,0.206,"HW_S_R %in% c('2','3','4','5','6','7','10')",0,0.794,0.661402
315,1,0.83,0.205,"PA_MSC %in% c('1','3','4','5','6')",0,0.795,0.65985
129,1,0.824,0.201,"F_FASTFOOD %in% c('2','3','4','5','6','7')",0,0.799,0.658376
170,1,0.845,0.222,"F_WAT %in% c('3','4','5')",0,0.778,0.65741
428,1,0.753,0.13,"WC_MN_M03 %in% c('0','9999')",0,0.87,0.65511
1082,1,0.827,0.208,"HW_S_R %in% c('1','2','3','4','7','9')",0,0.792,0.654984
1328,1,0.818,0.2,"E_EDU_M %in% c('3','4','8888')",0,0.8,0.6544
4465,1,0.824,0.206,"HW_S_R %in% c('1','2','3','4','9','10')",0,0.794,0.654256
1083,1,0.82,0.203,"PA_VIG %in% c('2','3','4','5','6')",0,0.797,0.65354
3492,1,0.822,0.205,"HW_S_R %in% c('2','3','4','5','6','8','10')",0,0.795,0.65349
2370,1,0.824,0.207,"HW_S_R %in% c('2','3','4','5','6','7','8')",0,0.793,0.653432
2,1,0.824,0.208,"F_CS %in% c('1','2','4','5','6','7')",0,0.792,0.652608
3754,1,0.825,0.209,"GRADE %in% c('1','2','4','5','6')",0,0.791,0.652575
269,1,0.831,0.215,"GRADE %in% c('1','3','4','5','6')",0,0.785,0.652335
623,1,0.751,0.133,"WC_MN %in% c('1','3','4')",0,0.867,0.651117
1900,1,0.819,0.206,"HW_S_R %in% c('1','2','3','4','5','9')",0,0.794,0.650286
4928,1,0.818,0.206,"RH_DG_YR %in% c('1','9999')",0,0.794,0.649492
2234,1,0.815,0.204,"HW_S_R %in% c('2','3','4','5','6','9','10')",0,0.796,0.64874
2438,1,0.814,0.206,"HW_S_R %in% c('1','2','4','5','6','8','9','10')",0,0.794,0.646316
2420,1,0.808,0.201,"PA_VIG %in% c('1','2','4','5','6')",0,0.799,0.645592
3578,1,0.812,0.205,"HW_S_R %in% c('2','3','4','6','8','9','10')",0,0.795,0.64554
4255,1,0.826,0.222,"GRADE %in% c('2','3','4','5','6')",0,0.778,0.642628
2242,1,0.804,0.202,TC_SND_S %in% c('1'),0,0.798,0.641592
1318,1,0.812,0.21,"PA_SWD_S %in% c('0','4','5','6','7','8','9','10','11','12','13','14')",0,0.79,0.64148
2538,1,0.812,0.21,"PA_SWK_N %in% c('1','3','4','5','6','7','8','9','10','11','12')",0,0.79,0.64148
768,1,0.813,0.211,"F_VEG %in% c('3','4','5','6','7')",0,0.789,0.641457
566,1,0.801,0.203,"INT_WD_MM %in% c('0','1','3','4','5')",0,0.797,0.638397
1585,1,0.807,0.209,"I_SB_BK %in% c('1','2','4','5')",0,0.791,0.638337
1005,1,0.802,0.205,"F_CAFFEINE %in% c('1','3','4','5','6','7')",0,0.795,0.63759
2033,1,0.799,0.204,"F_BR %in% c('2','3','4','5','6','7','8')",0,0.796,0.636004
883,1,0.786,0.193,O_SYMP6 %in% c('0'),0,0.807,0.634302
3921,1,0.797,0.205,"HW_S_R %in% c('2','3','4','5','8','9')",0,0.795,0.633615
511,1,0.776,0.184,"PR_HT %in% c('1','2','5')",0,0.816,0.633216
427,1,0.771,0.183,"PR_HT %in% c('1','2')",0,0.817,0.629907
3929,1,0.794,0.208,"PA_SWD_S %in% c('1','4','5','6','7','8','9','10','11','12','13','14')",0,0.792,0.628848
104,1,0.782,0.198,"HW_SPGO_H %in% c('1','2')",0,0.802,0.627164
140,1,0.794,0.211,"F_FASTFOOD %in% c('1','2','4','5','6','7')",0,0.789,0.626466
1833,1,0.788,0.206,"F_MILK %in% c('1','2','4','5','6','7')",0,0.794,0.625672
4607,2,0.786,0.204,"HW_S_R %in% c('2','3','4','6','8','9','10') & E_EDU_M %in% c('2','3','4','8888')",0,0.796,0.625656
2642,2,0.777,0.196,"PR_OH %in% c('2','3','4','5') & E_EDU_F %in% c('3','4','8888','9999')",0,0.804,0.624708
3850,1,0.776,0.195,"TC_SND_H %in% c('1','2')",0,0.805,0.62468
1570,1,0.781,0.204,"F_MILK %in% c('1','3','4','5','6','7')",0,0.796,0.621676
4161,2,0.714,0.131,"WC_MN_M03 %in% c('0','9999') & HW_S_R %in% c('1','2','3','4','6','7','8','9','10')",0,0.869,0.620466
2207,1,0.78,0.211,"PA_SWD_S %in% c('2','4','5','6','7','8','9','10','11','12','13','14')",0,0.789,0.61542
4307,2,0.706,0.129,"WC_MN_M03 %in% c('0','9999') & TC_HTP_MN %in% c('0')",0,0.871,0.614926
77,1,0.782,0.215,"F_WAT %in% c('1','2','4','5')",0,0.785,0.61387
247,1,0.778,0.212,"PA_SWK_N %in% c('0','3','4','5','6','7','8','9','10','11','12')",0,0.788,0.613064
5099,1,0.753,0.188,AGE<=5.5,0,0.812,0.611436
4995,1,0.771,0.208,"HW_SPML_S %in% c('2','3','4')",0,0.792,0.610632
153,1,0.765,0.202,"F_FASTFOOD %in% c('2','3')",0,0.798,0.61047
688,1,0.764,0.202,"TC_GHW_QT %in% c('4','9999')",0,0.798,0.609672
5802,1,0.761,0.2,S_EDU %in% c('2'),0,0.8,0.6088
581,1,0.762,0.206,"HW_S_R %in% c('2','3','6','7','10')",0,0.794,0.605028
1158,1,0.761,0.205,O_OCP3 %in% c('9999'),0,0.795,0.604995
1737,2,0.69,0.126,"WC_MN_M03 %in% c('0','9999') & O_BR_FQ %in% c('1','3','4','5','6','7','8','9','10')",0,0.874,0.60306
5034,1,0.756,0.205,"PA_SWK_S %in% c('1','2','3','4','5','6','7','8','9','10','11')",0,0.795,0.60102
2650,1,0.755,0.204,"PA_TOT %in% c('2','3','4','5','6','7','8')",0,0.796,0.60098
214,1,0.75,0.201,"F_CAFFEINE %in% c('1','3')",0,0.799,0.59925
1088,1,0.757,0.21,"PA_SWK_N %in% c('0','2','4','5','6','7','8','9','10','11','12')",0,0.79,0.59803
4006,1,0.758,0.212,O_SLNT %in% c('1'),0,0.788,0.597304
4842,1,0.756,0.211,"INT_WK_MM %in% c('0','3','4','5','6','7','8','9','10')",0,0.789,0.596484
795,1,0.754,0.21,"INT_WK_MM %in% c('1','2','3','4','5','6','7','8','9','10')",0,0.79,0.59566
4968,1,0.749,0.205,"E_FM_GM_6 %in% c('8888','9999')",0,0.795,0.595455
1209,1,0.753,0.21,"E_S_RCRD %in% c('1','3','4','5')",0,0.79,0.59487
3511,1,0.739,0.198,"E_EDU_F %in% c('1','3','8888','9999')",0,0.802,0.592678
183,1,0.748,0.208,"F_VEG %in% c('1','2','4','5','6','7')",0,0.792,0.592416
2110,1,0.744,0.204,"HW_S_R %in% c('2','3','6','9','10')",0,0.796,0.592224
8,1,0.749,0.211,"PA_SWK_S %in% c('0','2','4','5','6','7','8','9','10','11')",0,0.789,0.590961
3640,1,0.742,0.207,"PA_TRA %in% c('3','4','5','6','7','8')",0,0.793,0.588406
1641,1,0.736,0.203,"F_BR %in% c('3','4','5','6','7','8')",0,0.797,0.586592
413,1,0.729,0.197,"E_EDU_F %in% c('3','8888','9999')",0,0.803,0.585387
3334,1,0.737,0.206,"HW_S_R %in% c('2','3','5','8')",0,0.794,0.585178
4202,1,0.736,0.205,"HW_S_R %in% c('2','3','6','8','9')",0,0.795,0.58512
2700,1,0.735,0.204,"E_FM_YBS_8 %in% c('8888','9999')",0,0.796,0.58506
3195,1,0.733,0.203,"F_CAFFEINE %in% c('1','4','5','6','7')",0,0.797,0.584201
3,1,0.738,0.209,"F_CS %in% c('1','2')",0,0.791,0.583758
941,1,0.737,0.208,"PR_OH %in% c('1','3','4','5')",0,0.792,0.583704
3479,1,0.728,0.199,"E_EDU_M %in% c('1','3','8888','9999')",0,0.801,0.583128
3559,2,0.726,0.198,"INT_WK_MM %in% c('0','1','3','4','5','6','7','8','9','10') & E_EDU_F %in% c('3','4','8888','9999')",0,0.802,0.582252
4210,2,0.666,0.127,"F_CAFFEINE %in% c('1','2') & WC_MN_M03 %in% c('0','9999')",0,0.873,0.581418
4696,1,0.73,0.204,"HW_S_R %in% c('2','3','5','9')",0,0.796,0.58108
2865,1,0.731,0.206,"HW_SPGO_H %in% c('1','3','4')",0,0.794,0.580414
271,1,0.736,0.214,"F_FASTFOOD %in% c('1','2')",0,0.786,0.578496
71,1,0.726,0.206,"PA_TRA %in% c('2','4','5','6','7','8')",0,0.794,0.576444
858,1,0.721,0.201,"F_BR %in% c('2','4','5','6','7','8')",0,0.799,0.576079
4735,1,0.715,0.197,"E_EDU_F %in% c('1','3','8888')",0,0.803,0.574145
4107,1,0.744,0.229,AGE>2.5,0,0.771,0.573624
389,1,0.723,0.207,"F_FRUIT %in% c('1','2','4','5','6','7')",0,0.793,0.573339
6,1,0.726,0.211,"PA_SWK_S %in% c('0','3','4','5','6','7','8','9','10','11')",0,0.789,0.572814
2088,1,0.716,0.2,"PA_TOT %in% c('1','4','5','6','7','8')",0,0.8,0.5728
2263,2,0.658,0.132,"WC_MN_M03 %in% c('0','9999') & E_SES %in% c('2','3','4','5')",0,0.868,0.571144
5926,1,0.711,0.197,"PA_PE_FQ %in% c('3','4')",0,0.803,0.570933
2103,1,0.717,0.205,"HW_S_R %in% c('2','3','4','6','10')",0,0.795,0.570015
3398,1,0.724,0.213,"I_SB_BK %in% c('1','3','4','5')",0,0.787,0.569788
4132,1,0.721,0.21,"M_SLP_EN %in% c('3','4','5')",0,0.79,0.56959
5749,1,0.708,0.196,TC_SND_H %in% c('1'),0,0.804,0.569232
1379,2,0.707,0.196,"PR_OH %in% c('2','3','4','5') & HW_SPGO_H %in% c('1','2')",0,0.804,0.568428
3903,1,0.705,0.196,"E_EDU_F %in% c('3','8888')",0,0.804,0.56682
2442,1,0.711,0.205,"E_S_RCRD %in% c('1','2','4','5')",0,0.795,0.565245
3073,1,0.713,0.208,"HW_S_R %in% c('1','2','3','6')",0,0.792,0.564696
5452,2,0.646,0.127,"WC_MN_M03 %in% c('0','9999') & TC_GHW_QT %in% c('2','4','9999')",0,0.873,0.563958
199,1,0.712,0.209,"F_VEG %in% c('2','4','5','6','7')",0,0.791,0.563192
4510,1,0.703,0.199,"E_FM_OBS_7 %in% c('7','8888')",0,0.801,0.563103
4693,1,0.71,0.209,"E_SES %in% c('1','3','4','5')",0,0.791,0.56161
983,1,0.7,0.201,"F_FRUIT %in% c('1','3','4','5','6','7')",0,0.799,0.5593
3689,1,0.706,0.209,I_SCH_TRT %in% c('1'),0,0.791,0.558446
625,1,0.695,0.197,"E_EDU_M %in% c('3','8888')",0,0.803,0.558085
4277,1,0.705,0.211,"PA_SWK_N %in% c('0','1','4','5','6','7','8','9','10','11','12')",0,0.789,0.556245
5060,1,0.7,0.206,"HW_S_R %in% c('1','2','4','9','10')",0,0.794,0.5558
2727,2,0.638,0.135,"WC_MN %in% c('1','3','4') & O_BR_S %in% c('2','3','4')",0,0.865,0.55187
2493,1,0.697,0.209,"E_EDU_M %in% c('1','2','4','8888','9999')",0,0.791,0.551327
2097,1,0.691,0.203,"HW_S_R %in% c('2','4','5','6','9','10')",0,0.797,0.550727
2414,1,0.694,0.207,"HW_S_R %in% c('2','3','7')",0,0.793,0.550342
1080,1,0.69,0.206,"PA_TRA %in% c('4','5','6','7','8')",0,0.794,0.54786
2387,1,0.686,0.203,I_SCH_ED2 %in% c('2'),0,0.797,0.546742
2314,1,0.689,0.207,"O_DC_FQ %in% c('1','3','4','5')",0,0.793,0.546377
2892,1,0.687,0.205,O_SYMP2 %in% c('0'),0,0.795,0.546165
78,1,0.681,0.199,F_CAFFEINE %in% c('1'),0,0.801,0.545481
1002,1,0.692,0.212,"I_SB_BK %in% c('3','4','5')",0,0.788,0.545296
2244,2,0.684,0.206,"O_BR_FQ %in% c('3','4','5','6','7','8','9','10') & INT_WK_MM %in% c('1','2','3','4','5','6','7','8','9','10')",0,0.794,0.543096
829,2,0.67,0.19,"HW_SPGO_H %in% c('1','2') & E_EDU_F %in% c('3','4','8888','9999')",0,0.81,0.5427
1539,1,0.691,0.215,O_EDU %in% c('1'),0,0.785,0.542435
2820,1,0.687,0.211,"E_EDU_F %in% c('1','2','4','8888','9999')",0,0.789,0.542043
4086,1,0.683,0.207,"HW_S_R %in% c('2','3','8')",0,0.793,0.541619
2129,2,0.622,0.135,"WC_MN_M03 %in% c('0','9999') & GRADE %in% c('1','3','4','5','6')",0,0.865,0.53803
514,2,0.614,0.128,"WC_MN_M03 %in% c('0','9999') & ECZ_DG_LT %in% c('1')",0,0.872,0.535408
4691,2,0.67,0.202,"I_SB_BK %in% c('2','3','4','5') & I_SCH_ED2 %in% c('2')",0,0.798,0.53466
574,1,0.674,0.209,I_SCH_ED4 %in% c('9999'),0,0.791,0.533134
