,len,freq,err,condition,pred,Acc,new_standard
5571,3,0.019,0.067,"F_WAT %in% c('1','2') & AGE<=2.5 & E_S_RCRD %in% c('3','4','5')",0,0.933,0.017727
3552,2,0.021,0.156,O_SYMP4 %in% c('1') & GRADE %in% c('2'),0,0.844,0.017724
1863,3,0.035,0.494,"PR_HT %in% c('3','4','5') & WC_MN %in% c('2') & TC_GHW_QT %in% c('1','3','4')",1,0.506,0.01771
1251,4,0.031,0.429,"F_CS_F07 %in% c('9999') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & E_EDU_F %in% c('1','2','4')",1,0.571,0.017701
3954,3,0.032,0.447,"PR_HT %in% c('3','4','5') & PA_MSC %in% c('1','3') & WC_MN %in% c('2')",1,0.553,0.017696
1515,4,0.035,0.495,"F_FASTFOOD %in% c('1','2') & F_VEG %in% c('3') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')",1,0.505,0.017675
6018,3,0.035,0.495,"PA_TOT %in% c('1','2','3') & WC_MN_M03 %in% c('1') & E_EDU_F %in% c('1','2','4')",1,0.505,0.017675
4142,2,0.018,0.02,WC_MN %in% c('3') & INT_WK_MM %in% c('3'),0,0.98,0.01764
4786,2,0.021,0.16,"TC_SND_S %in% c('2','3','4','5','6','7','8') & GRADE %in% c('2')",0,0.84,0.01764
5639,3,0.021,0.16,"HW_EDU %in% c('2') & I_SB_FR %in% c('3','4','5') & GRADE %in% c('2')",0,0.84,0.01764
1753,3,0.034,0.482,"WC_MN %in% c('2') & RH_DG_YR %in% c('2','9999') & E_EDU_F %in% c('1','2')",1,0.518,0.017612
4387,3,0.021,0.162,O_DC_FQ %in% c('2') & I_SCH_TRT %in% c('1') & INT_WK_MM %in% c('1'),0,0.838,0.017598
5462,2,0.021,0.162,O_BR_S %in% c('2') & GRADE %in% c('2'),0,0.838,0.017598
4948,2,0.021,0.164,"HW_S_R %in% c('6','7','9') & GRADE %in% c('2')",0,0.836,0.017556
4713,5,0.019,0.078,"F_FASTFOOD %in% c('3','4','5','6','7') & F_WAT %in% c('3') & WC_MN %in% c('1','4') & WC_MN_M03 %in% c('0','9999') & AGE<=4.5",0,0.922,0.017518
1797,3,0.021,0.166,"PR_OH %in% c('1','2') & I_SB_FR %in% c('1','3','4','5') & GRADE %in% c('2')",0,0.834,0.017514
5211,3,0.021,0.166,"O_BR_FQ %in% c('3','4','5','6','7','8','9','10') & TC_SND_H %in% c('2','3') & GRADE %in% c('2')",0,0.834,0.017514
5057,3,0.021,0.167,"WC_MN %in% c('1','3','4') & AC_ACCESS %in% c('2','3','4','5') & S_EDU %in% c('1')",0,0.833,0.017493
2022,4,0.032,0.454,PR_HT %in% c('3') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & AC_ACCESS %in% c('1'),1,0.546,0.017472
703,3,0.023,0.241,"O_BR_FQ %in% c('1','2') & HW_S_R %in% c('1','3','4','7','8') & GRADE %in% c('1','3','4','5','6')",0,0.759,0.017457
2073,3,0.035,0.502,PA_TOT %in% c('1') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1'),1,0.498,0.01743
147,3,0.02,0.129,"WC_MN %in% c('1','4') & O_DC_FQ %in% c('3') & HW_S_R %in% c('3','5','6')",0,0.871,0.01742
5578,5,0.034,0.488,"F_FRUIT %in% c('1','2','4','5','6','7') & F_VEG %in% c('2','4','5','6','7') & F_MILK %in% c('1','2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')",1,0.512,0.017408
2209,2,0.022,0.209,O_BR_S %in% c('1') & INT_WK_MM %in% c('3'),0,0.791,0.017402
3413,3,0.037,0.532,"F_WAT %in% c('1','3','4','5') & PA_MSC %in% c('3') & WC_MN_M03 %in% c('1')",1,0.468,0.017316
2468,4,0.033,0.476,"PA_TOT %in% c('2','3') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & E_EDU_F %in% c('2','3','4','9999')",1,0.524,0.017292
686,3,0.02,0.143,"HW_S_R %in% c('2','4','5','9') & TC_GHW_QT %in% c('1','2','3') & GRADE %in% c('2')",0,0.857,0.01714
105,1,0.019,0.101,F_WAT %in% c('1'),0,0.899,0.017081
5490,2,0.021,0.19,TC_GHW_QT %in% c('3') & INT_WK_MM %in% c('0'),0,0.81,0.01701
4123,4,0.02,0.152,"PR_OH %in% c('1','3','4','5') & HW_S_R %in% c('1','4','5','6','7','9','10') & GRADE %in% c('2') & E_LT_F %in% c('1')",0,0.848,0.01696
4966,3,0.021,0.194,"HW_S_R %in% c('6','7','9') & TC_GHW_QT %in% c('1','4') & INT_WK_MM %in% c('0','3')",0,0.806,0.016926
5629,3,0.019,0.111,"F_WAT %in% c('3') & WC_MN %in% c('1','4') & HW_S_R %in% c('5','9','10')",0,0.889,0.016891
4027,4,0.031,0.457,"F_FASTFOOD %in% c('1') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & GRADE %in% c('1','3','4','5','6')",1,0.543,0.016833
943,4,0.032,0.475,"WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & HW_SPGO_H %in% c('3','4') & GRADE %in% c('1','3','4','5','6')",1,0.525,0.0168
4569,5,0.028,0.403,"PR_HT %in% c('3','4','5') & F_WAT %in% c('3','4','5') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & HW_S_R %in% c('1','2','4','5','9','10')",1,0.597,0.016716
4334,3,0.029,0.424,WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & E_EDU_F %in% c('2'),1,0.576,0.016704
3502,3,0.032,0.478,WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & E_EDU_M %in% c('2'),1,0.522,0.016704
2023,3,0.021,0.205,"O_SLNT %in% c('2') & PR_OH %in% c('1','3','4','5') & AC_ACCESS %in% c('2','3','4','5')",0,0.795,0.016695
4952,2,0.021,0.205,"HW_SPRM_H %in% c('3','4') & GRADE %in% c('2')",0,0.795,0.016695
4858,3,0.034,0.51,"PA_VIG %in% c('3') & WC_MN_M03 %in% c('1') & INT_WK_MM %in% c('2','3','4','5','6','7','8','9','10')",1,0.49,0.01666
1261,2,0.022,0.243,"M_SLP_EN %in% c('1','2') & O_BR_FQ %in% c('1','2')",0,0.757,0.016654
884,4,0.031,0.463,"WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & O_SYMP6 %in% c('1') & I_SB_FR %in% c('1','2')",1,0.537,0.016647
4793,2,0.02,0.168,"TC_SND_H %in% c('3') & GRADE %in% c('1','3')",0,0.832,0.01664
134,3,0.033,0.497,"PA_MSC %in% c('1') & WC_MN %in% c('2') & I_SB_EX %in% c('1','3','4','5')",1,0.503,0.016599
5786,4,0.03,0.447,"F_FASTFOOD %in% c('1') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & HW_S_R %in% c('1','2','3','4','5','6','10')",1,0.553,0.01659
475,2,0.022,0.246,"HW_S_R %in% c('1','4') & E_EDU_F %in% c('1','2','4')",0,0.754,0.016588
2557,3,0.021,0.211,"WC_MN_M03 %in% c('0','9999') & O_BR_FQ %in% c('2') & O_SYMP6 %in% c('1')",0,0.789,0.016569
469,2,0.021,0.212,"O_BR_FQ %in% c('1','2','4','5','6','7','8','9','10') & AC_FAGE %in% c('1','2','3')",0,0.788,0.016548
3870,2,0.017,0.028,"WC_MN %in% c('3') & TC_EC_MN %in% c('1','2','3','4','5','6','7')",0,0.972,0.016524
4282,5,0.031,0.471,"F_CAFFEINE %in% c('1') & F_MILK %in% c('1','2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & O_EDU %in% c('1')",1,0.529,0.016399
3944,2,0.02,0.183,M_SLP_EN %in% c('1') & GRADE %in% c('2'),0,0.817,0.01634
3037,3,0.018,0.095,"F_WAT %in% c('2') & PA_TOT %in% c('4','5','6','7','8') & PA_SWK_S %in% c('3','4','5','6','7','8','9','10','11')",0,0.905,0.01629
4235,4,0.028,0.419,"WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & O_BR_S %in% c('2','3','4') & E_EDU_F %in% c('2','9999')",1,0.581,0.016268
4331,2,0.019,0.145,GRADE %in% c('1') & E_EDU_F %in% c('2'),0,0.855,0.016245
1942,4,0.029,0.441,"PR_HT %in% c('3') & F_WAT %in% c('1','2','4','5') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')",1,0.559,0.016211
4614,2,0.02,0.19,"HW_S_R %in% c('5','6','7') & GRADE %in% c('2')",0,0.81,0.0162
836,2,0.019,0.148,O_BR_S %in% c('1') & GRADE %in% c('3'),0,0.852,0.016188
2287,4,0.029,0.442,"WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & M_SLP_EN %in% c('1','2') & GRADE %in% c('3','4','5','6')",1,0.558,0.016182
683,4,0.019,0.149,"O_BR_FQ %in% c('3') & O_DC_FQ %in% c('3','4','5') & I_SCH_ED2 %in% c('2') & GRADE %in% c('2')",0,0.851,0.016169
5728,4,0.02,0.194,"O_SYMP3 %in% c('1') & O_SYMP6 %in% c('0') & RH_DG_YR %in% c('2') & E_EDU_F %in% c('1','3','4','8888','9999')",0,0.806,0.01612
558,3,0.019,0.152,"TC_SND_S %in% c('2','3','4','5','6','7','8') & GRADE %in% c('2') & E_EDU_F %in% c('3','4','8888','9999')",0,0.848,0.016112
5357,4,0.028,0.425,"PR_HT %in% c('3','4','5') & F_CS_F07 %in% c('9999') & F_WAT %in% c('3','4','5') & WC_MN %in% c('2')",1,0.575,0.0161
2004,3,0.019,0.154,"I_SB_BK %in% c('1','2') & I_SCH_TRT %in% c('2') & GRADE %in% c('2')",0,0.846,0.016074
3505,3,0.019,0.154,"PR_OH %in% c('1','3','4','5') & HW_S_R %in% c('1','4','6','7') & GRADE %in% c('2')",0,0.846,0.016074
2347,4,0.017,0.055,"F_WAT %in% c('3') & PA_MSC %in% c('2','3','4','5','6') & WC_MN_M03 %in% c('0','9999') & GRADE %in% c('2')",0,0.945,0.016065
4388,4,0.03,0.467,"PR_HT %in% c('2','3','4','5') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & M_SLP_EN %in% c('1','2')",1,0.533,0.01599
5520,3,0.019,0.159,"O_DC_FQ %in% c('3') & GRADE %in% c('2') & E_FM_GM_6 %in% c('6','8888')",0,0.841,0.015979
1049,4,0.03,0.468,"PR_HT %in% c('3','4') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & E_EDU_M %in% c('3','8888')",1,0.532,0.01596
4073,3,0.032,0.504,PA_MSC %in% c('3') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1'),1,0.496,0.015872
4907,4,0.031,0.488,"WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & I_SCH_TRT %in% c('2') & E_EDU_F %in% c('2','8888','9999')",1,0.512,0.015872
3730,4,0.029,0.453,"F_WAT %in% c('1','3','4','5') & PA_MSC %in% c('1','3') & WC_MN_M03 %in% c('1') & E_EDU_F %in% c('1','2','4')",1,0.547,0.015863
4644,4,0.017,0.067,"WC_MN_M03 %in% c('0','9999') & HW_SPGO_H %in% c('1') & TC_SND_S %in% c('2','3') & E_S_RCRD %in% c('1','2')",0,0.933,0.015861
5527,4,0.029,0.454,"WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & GRADE %in% c('1','3','4','5','6') & E_EDU_M %in% c('1','2')",1,0.546,0.015834
2876,4,0.031,0.49,"F_WAT %in% c('1','2','4','5') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & ECZ_DG_LT %in% c('2')",1,0.51,0.01581
5042,5,0.03,0.474,"F_VEG %in% c('2','4','5','6','7') & F_MILK %in% c('1','2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & HW_S_R %in% c('2','4','8','9','10')",1,0.526,0.01578
1757,4,0.026,0.396,"WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & O_BR_S %in% c('2','3','4') & E_EDU_F %in% c('1','2')",1,0.604,0.015704
4859,4,0.029,0.459,"PA_VIG %in% c('3') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & GRADE %in% c('3','4','5','6')",1,0.541,0.015689
2716,3,0.018,0.133,"F_CS %in% c('1') & PA_MSC %in% c('3') & GRADE %in% c('1','2')",0,0.867,0.015606
4789,4,0.03,0.481,"F_WAT %in% c('3','4','5') & PA_TOT %in% c('1') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')",1,0.519,0.01557
5686,2,0.018,0.136,F_WAT %in% c('2') & INT_WK_MM %in% c('2'),0,0.864,0.015552
1738,3,0.018,0.139,"WC_MN_M03 %in% c('0','9999') & TC_GHW_QT %in% c('3') & E_EDU_M %in% c('2','4')",0,0.861,0.015498
6008,3,0.018,0.139,"PR_OH %in% c('3','4','5') & TC_GHW_QT %in% c('2','3') & GRADE %in% c('2')",0,0.861,0.015498
5217,1,0.021,0.263,"SleepAvg_WK %in% c('0','4')",0,0.737,0.015477
2323,4,0.018,0.144,"WC_MN %in% c('1','3','4') & O_BR_S %in% c('2') & E_FM_YBS_8 %in% c('8888','9999') & E_EDU_M %in% c('1','3')",0,0.856,0.015408
3339,4,0.029,0.469,"F_FRUIT %in% c('2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & E_EDU_F %in% c('1','2','3','9999')",1,0.531,0.015399
5336,4,0.027,0.43,F_FASTFOOD %in% c('1') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & AGE>2.5,1,0.57,0.01539
3665,4,0.026,0.411,"PR_HT %in% c('3','4','5') & F_CS_F07 %in% c('9999') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')",1,0.589,0.015314
3121,4,0.027,0.433,"PR_HT %in% c('3','4','5') & PA_MSC %in% c('1','2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')",1,0.567,0.015309
3441,4,0.017,0.106,"WC_MN_M03 %in% c('0','9999') & GRADE %in% c('1','2') & E_FM_YBS_8 %in% c('8888','9999') & E_EDU_M %in% c('1','2')",0,0.894,0.015198
123,4,0.029,0.476,"F_FASTFOOD %in% c('1') & F_WAT %in% c('3','4','5') & WC_MN %in% c('2') & HW_S_R %in% c('1','2','4','5','10')",1,0.524,0.015196
1710,4,0.027,0.438,"F_FASTFOOD %in% c('1') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & HW_S_R %in% c('2','3','4','5','6','10')",1,0.562,0.015174
1513,3,0.029,0.477,"PR_HT %in% c('3','4','5') & F_EDU %in% c('2') & WC_MN %in% c('2')",1,0.523,0.015167
3463,5,0.029,0.478,"F_FASTFOOD %in% c('1','2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & HW_SPML_S %in% c('1') & GRADE %in% c('1','3','4','5','6')",1,0.522,0.015138
4417,4,0.019,0.204,"PA_MSC %in% c('3','4','5','6') & O_DC_FQ %in% c('2') & AGE>5.5 & E_SES %in% c('3','4','5')",0,0.796,0.015124
1645,5,0.028,0.461,"F_FASTFOOD %in% c('1') & F_WAT %in% c('3','4','5') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & O_BR_S %in% c('1','3','4')",1,0.539,0.015092
2164,4,0.03,0.497,F_CS_F07 %in% c('9999') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & I_SB_BK %in% c('2'),1,0.503,0.01509
4004,3,0.016,0.072,"WC_MN_M03 %in% c('0','9999') & GRADE %in% c('1') & E_EDU_M %in% c('2')",0,0.928,0.014848
3002,4,0.026,0.429,"PR_HT %in% c('3','4','5') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & O_BR_FQ %in% c('1','2','4','5','6','7','8','9','10')",1,0.571,0.014846
4511,6,0.027,0.451,"F_CS %in% c('2') & F_WAT %in% c('1','3','4','5') & PA_MSC %in% c('1','2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & GRADE %in% c('1','3','4','5','6')",1,0.549,0.014823
5287,4,0.02,0.26,"O_SYMP6 %in% c('1') & HW_EDU %in% c('2') & TC_QT_YR %in% c('1','9999') & E_EDU_F %in% c('2','4')",0,0.74,0.0148
2576,2,0.017,0.136,INT_WK_MM %in% c('1') & GRADE %in% c('2'),0,0.864,0.014688
2834,2,0.017,0.136,I_SB_EX %in% c('1') & GRADE %in% c('2'),0,0.864,0.014688
4015,2,0.019,0.228,GRADE %in% c('2') & E_EDU_F %in% c('2'),0,0.772,0.014668
4853,5,0.028,0.477,"F_FASTFOOD %in% c('1','2') & PA_VIG %in% c('3') & PA_SWK_N %in% c('1','2','3','4','5','6','7','8','9','10','11','12') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')",1,0.523,0.014644
257,3,0.017,0.142,"HW_S_R %in% c('1','3','8','10') & I_SCH_ED4 %in% c('4') & GRADE %in% c('2')",0,0.858,0.014586
5591,3,0.018,0.193,"O_SYMP3 %in% c('1') & TC_QT_YR %in% c('1','2') & E_EDU_M %in% c('3','4','8888','9999')",0,0.807,0.014526
125,3,0.019,0.236,"O_BR_FQ %in% c('1','2') & HW_SPGO_H %in% c('1') & E_EDU_M %in% c('1','2','3','4')",0,0.764,0.014516
3668,3,0.024,0.398,"WC_MN_M03 %in% c('1') & M_SLP_EN %in% c('1','2','4','5') & GRADE %in% c('2')",0,0.602,0.014448
5795,3,0.017,0.154,"WC_MN %in% c('1','3','4') & HW_S_R %in% c('3','4','5','6','8','10') & I_SB_FR %in% c('1')",0,0.846,0.014382
5651,2,0.017,0.155,"HW_S_R %in% c('5','6','9','10') & INT_WK_MM %in% c('1')",0,0.845,0.014365
1487,3,0.015,0.049,"PR_HT %in% c('1','2') & F_WAT %in% c('2') & GRADE %in% c('2')",0,0.951,0.014265
3959,3,0.019,0.25,"O_BR_FQ %in% c('1','2') & I_SB_BK %in% c('1','2') & GRADE %in% c('1','3','4','5','6')",0,0.75,0.01425
2856,4,0.028,0.492,"PR_HT %in% c('3','4','5') & WC_MN %in% c('2') & O_SYMP6 %in% c('0') & HW_SPGO_H %in% c('1','3','4')",1,0.508,0.014224
2455,3,0.016,0.114,"F_WAT %in% c('3') & PA_MSC %in% c('2') & GRADE %in% c('1','2')",0,0.886,0.014176
3296,4,0.017,0.167,"HW_S_R %in% c('1','2','3','6','8','10') & I_SCH_ED5 %in% c('5') & AC_DAYS %in% c('1','2','3','4','5','6','7') & GRADE %in% c('2')",0,0.833,0.014161
2062,5,0.025,0.434,"PR_HT %in% c('3','4') & PA_SWD_N %in% c('0','2','3','4','5','6','7') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & O_BR_S %in% c('3','4')",1,0.566,0.01415
3229,3,0.026,0.456,"PR_HT %in% c('3','5') & F_CS_F07 %in% c('9999') & WC_MN %in% c('2')",1,0.544,0.014144
2428,3,0.031,0.545,"PA_VIG %in% c('2') & PA_SWK_N %in% c('1','2','4','5','6','7','8','9','10','11','12') & WC_MN %in% c('2')",1,0.455,0.014105
3945,2,0.017,0.171,O_DC_FQ %in% c('3') & TC_GHW_QT %in% c('3'),0,0.829,0.014093
2481,3,0.018,0.219,"O_BR_FQ %in% c('3','4','5','6','7','8','9','10') & I_SCH_ED4 %in% c('4') & AC_ACCESS %in% c('2','5')",0,0.781,0.014058
803,4,0.016,0.124,"WC_MN_M03 %in% c('0','9999') & ECZ_DG_LT %in% c('2') & INT_WD_MM %in% c('1') & E_S_RCRD %in% c('1','2')",0,0.876,0.014016
1310,3,0.016,0.125,"I_SB_FR %in% c('1','2') & TC_GHW_QT %in% c('2','3') & GRADE %in% c('2')",0,0.875,0.014
5419,4,0.027,0.482,"F_VEG %in% c('1','3') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & E_LT_F %in% c('1')",1,0.518,0.013986
4155,2,0.016,0.128,"WC_MN_M03 %in% c('0','9999') & AC_ACCESS %in% c('4')",0,0.872,0.013952
1126,4,0.024,0.419,"PA_MSC %in% c('1','3') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & E_EDU_F %in% c('1','2','4')",1,0.581,0.013944
5845,5,0.024,0.421,"F_WAT %in% c('1','3','4','5') & PA_MSC %in% c('1','3') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & E_EDU_F %in% c('1','2','4','9999')",1,0.579,0.013896
2224,2,0.03,0.537,F_MILK %in% c('1') & WC_MN %in% c('2'),1,0.463,0.01389
3933,4,0.016,0.132,"WC_MN_M03 %in% c('0','9999') & I_SCH_ED5 %in% c('5') & AC_ACCESS %in% c('2','4','5') & GRADE %in% c('1','2','4','5','6')",0,0.868,0.013888
274,3,0.027,0.487,"PA_MSC %in% c('1','3') & WC_MN %in% c('2') & O_SYMP6 %in% c('1')",1,0.513,0.013851
3010,5,0.023,0.398,"PR_HT %in% c('3','4','5') & F_WAT %in% c('3','4','5') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & RH_DG_YR %in% c('9999')",1,0.602,0.013846
5303,6,0.015,0.077,"F_FRUIT %in% c('3') & PA_MSC %in% c('1','3','4','5','6') & WC_MN %in% c('1','3','4') & O_DC_FQ %in% c('2') & HW_SPGO_H %in% c('1','2') & HW_S_R %in% c('1','3','5','9','10')",0,0.923,0.013845
1944,3,0.017,0.19,"HW_S_R %in% c('1','2','4','5','6','7','8','9','10') & I_SB_FR %in% c('1') & E_EDU_M %in% c('2','4','9999')",0,0.81,0.01377
5721,3,0.017,0.19,"M_SLP_EN %in% c('1') & E_S_RCRD %in% c('1') & E_EDU_F %in% c('1','3','4','8888','9999')",0,0.81,0.01377
4860,4,0.026,0.474,PA_VIG %in% c('3') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & I_SB_FR %in% c('2'),1,0.526,0.013676
5727,5,0.024,0.435,"PR_HT %in% c('3','4','5') & F_MILK %in% c('1','2','4','5','6','7') & F_WAT %in% c('3','4','5') & PA_VIG %in% c('3','4','5','6') & WC_MN %in% c('2')",1,0.565,0.01356
3342,4,0.025,0.459,"F_FASTFOOD %in% c('1') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & HW_S_R %in% c('2','3','4','6','7','9')",1,0.541,0.013525
5925,3,0.014,0.034,"WC_MN %in% c('3') & O_BR_S %in% c('1','2') & I_SB_FR %in% c('1','3','4','5')",0,0.966,0.013524
4667,3,0.017,0.205,"HW_S_R %in% c('2','3','5','9','10') & TC_SND_H %in% c('2') & E_EDU_F %in% c('1','2','4')",0,0.795,0.013515
4110,3,0.015,0.1,"F_WAT %in% c('2') & WC_MN_M03 %in% c('0','9999') & O_BR_S %in% c('2')",0,0.9,0.0135
4174,4,0.024,0.439,"WC_MN %in% c('2') & I_SCH_ED5 %in% c('9999') & E_EDU_F %in% c('1','2') & E_EDU_M %in% c('1','2','3','4')",1,0.561,0.013464
1448,3,0.024,0.44,"PR_HT %in% c('3','4','5') & PA_VIG %in% c('1','3') & WC_MN %in% c('2')",1,0.56,0.01344
4672,3,0.017,0.213,"AGE>2.5 & E_LT_F %in% c('2') & E_EDU_F %in% c('3','8888','9999')",0,0.787,0.013379
3685,3,0.017,0.215,O_OCP2 %in% c('9999') & PR_OH %in% c('1') & E_FM_YBS_8 %in% c('8'),0,0.785,0.013345
3900,6,0.025,0.467,"F_WAT %in% c('3','4','5') & PA_TOT %in% c('1','3') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & HW_S_R %in% c('2','3','4','8','9') & E_EDU_M %in% c('2','3','4')",1,0.533,0.013325
5168,4,0.024,0.445,"PR_HT %in% c('2','3','4','5') & F_FASTFOOD %in% c('1') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')",1,0.555,0.01332
3963,5,0.022,0.396,"PR_HT %in% c('3','4','5') & F_VEG %in% c('1','3','4','5','6','7') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & HW_S_R %in% c('1','2','5')",1,0.604,0.013288
5710,4,0.023,0.424,WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & S_EDU %in% c('2') & E_EDU_F %in% c('2'),1,0.576,0.013248
4033,1,0.017,0.222,HW_S_R %in% c('4'),0,0.778,0.013226
4548,4,0.015,0.119,"M_SLP_EN %in% c('2') & HW_S_R %in% c('2','3','7','8','9') & RH_DG_YR %in% c('1','2') & AGE<=2.5",0,0.881,0.013215
5954,3,0.015,0.12,"TC_GHW_QT %in% c('1','3') & AGE<=2.5 & E_SES %in% c('1','3','4','5')",0,0.88,0.0132
4099,3,0.017,0.225,"PR_OH %in% c('1') & HW_SPGO_H %in% c('2','3','4') & TC_GHW_QT %in% c('1','2','3','9999')",0,0.775,0.013175
4183,3,0.015,0.122,"INT_WK_MM %in% c('1') & GRADE %in% c('2') & E_EDU_F %in% c('3','4','8888','9999')",0,0.878,0.01317
5823,3,0.015,0.122,"TC_GHW_QT %in% c('1','3') & AGE<=2.5 & E_FM_OBS_7 %in% c('8888','9999')",0,0.878,0.01317
5919,4,0.023,0.428,"F_FASTFOOD %in% c('1') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & HW_S_R %in% c('2','4','5','6','10')",1,0.572,0.013156
4393,3,0.016,0.179,"M_SLP_EN %in% c('3','4','5') & INT_WK_MM %in% c('1') & E_EDU_M %in% c('2','4')",0,0.821,0.013136
6072,2,0.016,0.179,PR_OH %in% c('1') & GRADE %in% c('2'),0,0.821,0.013136
3563,5,0.026,0.495,"PA_TOT %in% c('2','3') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & PR_OH %in% c('1','3','4','5') & HW_S_R %in% c('1','2','5','8')",1,0.505,0.01313
4231,3,0.026,0.496,"WC_MN %in% c('2') & E_FM_YBS_8 %in% c('8888','9999') & E_EDU_F %in% c('2','9999')",1,0.504,0.013104
5682,4,0.014,0.067,"PR_HT %in% c('1','2') & F_WAT %in% c('1','2') & WC_MN %in% c('1','4') & I_SB_BK %in% c('3')",0,0.933,0.013062
3652,4,0.014,0.068,"F_WAT %in% c('3') & WC_MN %in% c('1','4') & HW_SPGO_H %in% c('2') & GRADE %in% c('1','2')",0,0.932,0.013048
5418,5,0.024,0.461,"F_VEG %in% c('1','3') & F_WAT %in% c('3','4','5') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & E_LT_F %in% c('1')",1,0.539,0.012936
277,4,0.024,0.462,"F_WAT %in% c('1','3','4','5') & WC_MN %in% c('2') & TC_GHW_QT %in% c('3','4') & E_EDU_F %in% c('1','2','9999')",1,0.538,0.012912
3052,2,0.015,0.143,O_BR_S %in% c('1') & GRADE %in% c('2'),0,0.857,0.012855
2966,5,0.025,0.486,"PA_MSC %in% c('1') & WC_MN_M03 %in% c('1') & TC_GHW_QT %in% c('1','2','4') & GRADE %in% c('1','3','4','5','6') & E_EDU_M %in% c('1','3','8888','9999')",1,0.514,0.01285
5580,2,0.014,0.088,"F_WAT %in% c('1','2') & HW_S_R %in% c('5','8')",0,0.912,0.012768
5826,5,0.022,0.421,"PR_HT %in% c('3','4') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & HW_S_R %in% c('1','2','4','5','8','9') & E_FM_OBS_7 %in% c('8888','9999')",1,0.579,0.012738
3219,3,0.015,0.153,"I_SB_EX %in% c('2') & TC_GHW_QT %in% c('1','2','3') & GRADE %in% c('2')",0,0.847,0.012705
2500,2,0.013,0.023,WC_MN %in% c('3') & TC_GHW_QT %in% c('2'),0,0.977,0.012701
3950,3,0.015,0.155,F_EDU %in% c('1') & PA_TRA %in% c('1') & GRADE %in% c('2'),0,0.845,0.012675
5934,4,0.013,0.03,"PR_HT %in% c('1','2') & F_WAT %in% c('2') & WC_MN_M03 %in% c('0','9999') & GRADE %in% c('2')",0,0.97,0.01261
197,3,0.014,0.101,"F_WAT %in% c('1','2') & HW_S_R %in% c('3','4','5','6','10') & E_EDU_M %in% c('1','3','4','9999')",0,0.899,0.012586
4892,3,0.015,0.161,F_FRUIT %in% c('2') & INT_WD_MM %in% c('0') & GRADE %in% c('2'),0,0.839,0.012585
