,Variables,Euclidean distance,Variables,Euclidean distance
123,,,HW_SPRM_S_3,1.1238279342651367
124,,,O_SYMP3_1,1.1267964839935303
125,,,AC_LT_1,1.135327935218811
126,,,F_CS_F10_9999,1.1420519351959229
127,,,PA_TRA_MM_1,1.1422607898712158
128,,,O_OCP5_9999,1.1492979526519775
129,,,M_STR_3,1.149691104888916
130,,,AC_FAGE_9999,1.152240514755249
131,,,F_CS_F11_9999,1.1525187492370605
132,,,PA_TRA_2,1.154036283493042
133,,,I_SCH_ED2_9999,1.1561384201049805
134,,,I_SB_BK_2,1.1574162244796753
135,,,HW_S_R_5,1.159966230392456
136,,,HW_SPML_H_1,1.1637122631072998
137,,,M_STR_5,1.1673675775527954
138,,,I_SB_BK_4,1.1682053804397583
139,,,O_BR_FQ_2,1.1697700023651123
140,,,PA_TRA_3,1.1713451147079468
141,,,TC_SND_P_4,1.1782833337783813
142,,,AC_FAGE_6,1.181161880493164
143,,,PA_TRA_7,1.1824296712875366
144,,,TC_SND_P_3,1.1837695837020874
145,,,AC_DAYS_1,1.1844648122787476
146,,,PA_TRA_4,1.1874362230300903
147,,,F_CS_F09_9,1.1990994215011597
148,,,F_CS_F05_5,1.2012871503829956
149,,,I_SCH_ED4_9999,1.2030779123306274
150,,,TC_SND_H_8,1.2086024284362793
151,,,F_CS_F04_9999,1.2104308605194092
152,,,AC_FAGE_8,1.2110764980316162
153,,,M_SLP_EN_5,1.2111080884933472
154,,,O_SYMP5_1,1.211404800415039
155,,,S_EDU_1,1.211601972579956
156,,,AC_FAGE_7,1.2125060558319092
157,,,TC_SND_H_5,1.2133044004440308
158,,,PA_TRA_1,1.2158399820327759
159,,,M_SUI_CON_2,1.2201972007751465
160,,,PA_TRA_5,1.2238634824752808
161,,,PA_TRA_6,1.2268494367599487
162,,,I_SCH_ED3_9999,1.2287626266479492
163,,,I_SCH_ED5_9999,1.2302531003952026
164,,,O_SYMP1_1,1.230592131614685
165,,,AC_FAGE_11,1.2345731258392334
166,,,PA_TRA_MM_3,1.2377530336380005
167,,,O_SYMP1_1_0,1.2417031526565552
168,,,F_CS_F11_11,1.256280541419983
169,,,F_CS_F08_8,1.2588409185409546
170,,,AC_FAGE_1,1.2589740753173828
171,,,F_CS_F03_3,1.259850263595581
172,,,HW_SPRM_H_1,1.264503836631775
173,,,F_CS_F02_2,1.2655613422393799
174,,,PA_TRA_MM_2,1.2732900381088257
175,,,O_BR_FQ_6,1.275809645652771
176,,,AC_DAYS_9999,1.2772477865219116
177,,,I_SB_BK_5,1.2891242504119873
178,,,TC_SND_H_7,1.2894636392593384
179,,,F_CS_F06_6,1.2934256792068481
180,,,PA_ST_5,1.300760269165039
181,,,PA_TRA_8,1.3022875785827637
182,,,O_BR_FQ_7,1.3061106204986572
183,,,F_CS_F01_1,1.307485818862915
184,,,HW_SPML_S_4,1.3087289333343506
185,,,TC_SND_P_5,1.3105707168579102
186,,,AC_FAGE_5,1.313804268836975
187,,,AC_ACCESS_2,1.3165770769119263
188,,,AC_FAGE_9,1.317016363143921
189,,,AC_FAGE_3,1.319639801979065
190,,,PA_ST_4,1.3221319913864136
191,,,PA_SWK_N_11,1.3269680738449097
192,,,HW_SPRM_H_2,1.3271994590759277
193,,,HW_S_R_6,1.330094575881958
194,,,AC_FAGE_10,1.3329037427902222
195,,,O_BR_FQ_8,1.3378709554672241
196,,,M_STR_1,1.3386483192443848
197,,,HW_S_R_10,1.33870530128479
198,,,F_CS_2,1.3408375978469849
199,,,AC_LT_2,1.343930721282959
200,,,AC_FAGE_4,1.3474409580230713
201,,,I_SB_FR_5,1.3482098579406738
202,,,AC_FAGE_2,1.3491027355194092
203,,,TC_SND_H_6,1.3497871160507202
204,,,ECZ_DG_LT_2,1.353001594543457
205,,,TC_SND_S_2,1.3544458150863647
206,,,ECZ_DG_YR_1,1.3550543785095215
207,,,V_TRT_2,1.3670976161956787
208,,,F_SODA_6,1.3679331541061401
209,,,F_CS_F10_10,1.3713748455047607
210,,,HW_SPML_S_1,1.3721503019332886
211,,,TC_GHW_2,1.3764358758926392
212,,,I_SCH_ED4_4,1.3814462423324585
213,,,O_EDU_1,1.3840916156768799
214,,,AC_FAGE_13,1.3848328590393066
215,,,M_SUI_PLN_2,1.3854669332504272
216,,,F_CS_5,1.3871382474899292
217,,,I_SCH_ED5_5,1.3881213665008545
218,,,F_CS_4,1.3936638832092285
219,,,O_SYMP1_1_1,1.3969252109527588
220,,,TC_SND_S_3,1.400490403175354
221,,,TC_SND_P_6,1.4037210941314697
222,,,TC_SND_S_4,1.4066120386123657
223,,,PA_WLK_7,1.4068410396575928
224,,,F_CS_3,1.4141912460327148
225,,,PA_SWD_N_6,1.4186257123947144
226,,,AC_FAGE_12,1.4190729856491089
227,,,PA_SWK_N_7,1.4257169961929321
228,,,PA_SWK_N_9,1.43052339553833
229,,,RH_DG_YR_1,1.4427509307861328
230,,,PA_WLK_MM_3,1.4436075687408447
231,,,PA_SWK_S_7,1.4462857246398926
232,,,F_CAFFEINE_5,1.44804847240448
233,,,PA_WLK_3,1.4527643918991089
234,,,PA_SWK_S_9,1.4550689458847046
235,,,GRADE_3,1.455640196800232
236,,,PA_ST_3,1.4561878442764282
237,,,S_CONT_4,1.4568589925765991
238,,,GRADE_2,1.463747501373291
239,,,PA_SWD_S_11,1.4672677516937256
240,,,PA_WLK_5,1.4690722227096558
241,,,TC_SND_S_5,1.4709258079528809
242,,,PA_SWK_S_5,1.4714919328689575
243,,,F_CAFFEINE_6,1.472023367881775
244,,,ECZ_DG_YR_9999,1.4738820791244507
245,,,PA_WLK_4,1.4741774797439575
246,,,PA_SWK_S_4,1.479017972946167
247,,,AGE_14,1.4808460474014282
248,,,TC_SND_P_7,1.4828625917434692
249,,,PA_SWD_S_5,1.4873136281967163
250,,,PA_SWK_S_8,1.4885098934173584
251,,,F_CS_F04_4,1.4932390451431274
252,,,TC_ACCESS_2,1.4945509433746338
253,,,F_CS_F07_9999,1.4950262308120728
254,,,PA_SWK_S_10,1.4975841045379639
255,,,PA_WLK_2,1.4981204271316528
256,,,TC_SND_S_6,1.5003420114517212
257,,,PA_SWD_S_3,1.501033067703247
258,,,F_CS_F12_9999,1.5015751123428345
259,,,PA_SWK_N_8,1.5023424625396729
260,,,PA_SWD_S_6,1.5065031051635742
261,,,PA_SWK_S_6,1.5071913003921509
262,,,O_EDU_2,1.5089995861053467
263,,,F_CS_6,1.5104868412017822
264,,,HW_SPGO_H_2,1.510586142539978
265,,,RH_DG_LT_1,1.512141227722168
266,,,RH_DG_YR_2,1.5139598846435547
267,,,AC_DAYS_5,1.5165265798568726
268,,,PA_SWK_N_6,1.5187337398529053
269,,,PR_OH_5,1.5201810598373413
270,,,HW_S_R_4,1.5255440473556519
271,,,O_BR_SLP_3,1.528633713722229
272,,,F_FASTFOOD_6,1.528780460357666
273,,,O_BR_FQ_9,1.529068112373352
274,,,PA_SWD_S_4,1.5295507907867432
275,,,AGE_15,1.530005693435669
276,,,F_WAT_1,1.5316712856292725
277,,,PA_SWK_N_4,1.5320018529891968
278,,,AC_ACCESS_3,1.5322673320770264
279,,,PA_SWD_S_12,1.5347871780395508
280,,,F_FASTFOOD_5,1.5414119958877563
281,,,WC_MN_4,1.5414402484893799
282,,,PA_WLK_MM_2,1.5426291227340698
283,,,PA_SWK_N_10,1.5431619882583618
284,,,TC_FAGE_7,1.5459400415420532
285,,,TC_FAGE_11,1.5461331605911255
286,,,AC_AMNT_3,1.546870231628418
287,,,PA_SWD_S_13,1.5479007959365845
288,,,PA_ST_2,1.551271915435791
289,,,PA_SWK_N_3,1.5520271062850952
290,,,PA_SWD_S_7,1.5520691871643066
291,,,I_SB_BK_1,1.5533877611160278
292,,,PA_ST_1,1.553612470626831
293,,,TC_DAYS_1,1.5557618141174316
294,,,PA_SWK_N_2,1.5612069368362427
295,,,AGE_13,1.5630834102630615
296,,,AC_DAYS_3,1.5644794702529907
297,,,PA_WLK_6,1.5652134418487549
298,,,HW_SPRM_H_3,1.5673452615737915
299,,,PA_SWD_S_9,1.5686671733856201
300,,,PA_SWK_S_3,1.5696582794189453
301,,,F_FASTFOOD_4,1.5704879760742188
302,,,HW_SPGO_H_1,1.5719212293624878
303,,,PA_WLK_MM_4,1.5734719038009644
304,,,F_CAFFEINE_4,1.576215147972107
305,,,PA_SWD_S_2,1.5775750875473022
306,,,HW_SPGO_H_3,1.5780575275421143
307,,,PA_SWD_N_5,1.578383207321167
308,,,AC_DAYS_2,1.5805137157440186
309,,,INT_WK_2,1.5816168785095215
310,,,PA_MSC_5,1.5855040550231934
311,,,TC_SND_P_8,1.5876946449279785
312,,,E_BORN_M_7,1.588494062423706
313,,,HW_SPML_H_4,1.5887670516967773
314,,,PA_SWK_N_1,1.5888108015060425
315,,,PA_PE_FQ_3,1.5895051956176758
316,,,AC_AMNT_1,1.5924659967422485
317,,,PA_SWD_S_10,1.593813419342041
318,,,PA_SWK_S_2,1.5938687324523926
319,,,PA_SWK_N_5,1.5944722890853882
320,,,PA_SWD_N_4,1.5958523750305176
321,,,AC_DAYS_4,1.5981827974319458
322,,,TC_GHW_H_1,1.5996793508529663
323,,,PA_SWD_S_8,1.6003154516220093
324,,,PA_WLK_1,1.6035842895507812
325,,,O_BR_FQ_1,1.6050993204116821
326,,,PA_SWD_S_14,1.6054404973983765
327,,,PA_PE_FQ_2,1.6163241863250732
328,,,S_SI_2,1.616371750831604
329,,,PA_SWK_S_11,1.6182409524917603
