,M_SLP_HR_K,M_WK_HR_K,일어난 시각 - 잠에 든 시각,절대값
8277,2.0,9.0,7.0,7.0
8278,1.0,11.0,10.0,10.0
8279,1.0,9.0,8.0,8.0
8280,1.0,10.0,9.0,9.0
8281,4.0,15.0,11.0,11.0
8282,2.0,10.0,8.0,8.0
8283,1.0,5.0,4.0,4.0
8284,3.0,12.0,9.0,9.0
8285,13.0,8.0,-5.0,5.0
8286,4.0,24.0,20.0,20.0
8287,5.0,12.0,7.0,7.0
8288,3.0,11.0,8.0,8.0
8289,1.0,10.0,9.0,9.0
8290,2.0,13.0,11.0,11.0
8291,5.0,8.0,3.0,3.0
8292,24.0,7.0,-17.0,17.0
8293,1.0,6.0,5.0,5.0
8294,7.0,12.0,5.0,5.0
8295,3.0,10.0,7.0,7.0
8296,2.0,15.0,13.0,13.0
8297,23.0,7.0,-16.0,16.0
8298,2.0,12.0,10.0,10.0
8299,5.0,16.0,11.0,11.0
8300,12.0,8.0,-4.0,4.0
8301,22.0,7.0,-15.0,15.0
8302,23.0,7.0,-16.0,16.0
8303,23.0,7.0,-16.0,16.0
8304,1.0,9.0,8.0,8.0
8305,2.0,8.0,6.0,6.0
8306,12.0,10.0,-2.0,2.0
8307,14.0,9.0,-5.0,5.0
8308,24.0,8.0,-16.0,16.0
8309,24.0,9.0,-15.0,15.0
8310,7.0,14.0,7.0,7.0
8311,23.0,8.0,-15.0,15.0
8312,9.0,7.0,-2.0,2.0
8313,24.0,8.0,-16.0,16.0
8314,1.0,10.0,9.0,9.0
8315,24.0,9.0,-15.0,15.0
8316,23.0,7.0,-16.0,16.0
8317,3.0,10.0,7.0,7.0
8318,3.0,8.0,5.0,5.0
8319,24.0,8.0,-16.0,16.0
8320,24.0,7.0,-17.0,17.0
8321,24.0,20.0,-4.0,4.0
8322,24.0,11.0,-13.0,13.0
8323,2.0,12.0,10.0,10.0
8324,13.0,6.0,-7.0,7.0
8325,2.0,8.0,6.0,6.0
8326,3.0,11.0,8.0,8.0
8327,3.0,10.0,7.0,7.0
8328,24.0,8.0,-16.0,16.0
8329,1.0,8.0,7.0,7.0
8330,2.0,9.0,7.0,7.0
8331,24.0,8.0,-16.0,16.0
8332,13.0,9.0,-4.0,4.0
8334,24.0,9.0,-15.0,15.0
8335,24.0,9.0,-15.0,15.0
8336,1.0,7.0,6.0,6.0
8337,23.0,19.0,-4.0,4.0
8338,24.0,8.0,-16.0,16.0
8339,5.0,12.0,7.0,7.0
8340,2.0,10.0,8.0,8.0
8341,3.0,13.0,10.0,10.0
8342,3.0,12.0,9.0,9.0
8344,23.0,10.0,-13.0,13.0
8345,22.0,6.0,-16.0,16.0
8346,2.0,9.0,7.0,7.0
8347,24.0,21.0,-3.0,3.0
8348,6.0,14.0,8.0,8.0
8349,1.0,8.0,7.0,7.0
8350,6.0,12.0,6.0,6.0
8351,5.0,14.0,9.0,9.0
8352,24.0,15.0,-9.0,9.0
8353,1.0,11.0,10.0,10.0
8354,24.0,7.0,-17.0,17.0
8355,4.0,14.0,10.0,10.0
8356,24.0,6.0,-18.0,18.0
8357,12.0,8.0,-4.0,4.0
8358,1.0,8.0,7.0,7.0
8359,21.0,5.0,-16.0,16.0
8360,24.0,13.0,-11.0,11.0
8361,2.0,9.0,7.0,7.0
8362,3.0,10.0,7.0,7.0
8363,24.0,7.0,-17.0,17.0
8364,4.0,14.0,10.0,10.0
8365,2.0,11.0,9.0,9.0
8366,1.0,3.0,2.0,2.0
8367,5.0,16.0,11.0,11.0
8368,1.0,8.0,7.0,7.0
8369,1.0,8.0,7.0,7.0
8370,2.0,13.0,11.0,11.0
8371,24.0,6.0,-18.0,18.0
8372,22.0,9.0,-13.0,13.0
8373,23.0,8.0,-15.0,15.0
8374,5.0,14.0,9.0,9.0
8426,3.0,8.0,5.0,5.0
8428,3.0,9.0,6.0,6.0
8432,3.0,14.0,11.0,11.0
8433,22.0,3.0,-19.0,19.0
8435,24.0,9.0,-15.0,15.0
8436,24.0,6.0,-18.0,18.0
8437,24.0,8.0,-16.0,16.0
8438,2.0,13.0,11.0,11.0
8444,5.0,15.0,10.0,10.0
8445,23.0,8.0,-15.0,15.0
8446,3.0,13.0,10.0,10.0
8447,24.0,9.0,-15.0,15.0
8448,22.0,6.0,-16.0,16.0
8449,2.0,9.0,7.0,7.0
8450,2.0,14.0,12.0,12.0
8451,1.0,10.0,9.0,9.0
8452,23.0,8.0,-15.0,15.0
8453,1.0,13.0,12.0,12.0
8454,23.0,7.0,-16.0,16.0
8455,16.0,12.0,-4.0,4.0
8456,2.0,10.0,8.0,8.0
8457,2.0,10.0,8.0,8.0
8458,2.0,13.0,11.0,11.0
8459,2.0,8.0,6.0,6.0
8460,1.0,8.0,7.0,7.0
8461,14.0,9.0,-5.0,5.0
8462,2.0,10.0,8.0,8.0
8463,4.0,20.0,16.0,16.0
8464,12.0,9.0,-3.0,3.0
8465,24.0,10.0,-14.0,14.0
8466,1.0,13.0,12.0,12.0
8467,3.0,10.0,7.0,7.0
8468,24.0,8.0,-16.0,16.0
8469,24.0,10.0,-14.0,14.0
8470,2.0,12.0,10.0,10.0
8471,23.0,9.0,-14.0,14.0
8472,24.0,8.0,-16.0,16.0
8473,23.0,9.0,-14.0,14.0
8474,12.0,8.0,-4.0,4.0
8475,23.0,7.0,-16.0,16.0
8476,3.0,12.0,9.0,9.0
