,M_SLP_HR_K,M_WK_HR_K,일어난 시각 - 잠에 든 시각,절대값
0,9.0,17.0,8.0,8.0
1,9.0,15.0,6.0,6.0
2,23.0,14.0,-9.0,9.0
3,9.0,16.0,7.0,7.0
4,12.0,8.0,-4.0,4.0
5,6.0,12.0,6.0,6.0
6,2.0,6.0,4.0,4.0
7,3.0,11.0,8.0,8.0
8,1.0,9.0,8.0,8.0
9,6.0,4.0,-2.0,2.0
10,1.0,11.0,10.0,10.0
11,23.0,7.0,-16.0,16.0
12,24.0,6.0,-18.0,18.0
13,1.0,12.0,11.0,11.0
14,1.0,11.0,10.0,10.0
15,2.0,11.0,9.0,9.0
16,13.0,9.0,-4.0,4.0
17,11.0,9.0,-2.0,2.0
18,1.0,11.0,10.0,10.0
19,1.0,14.0,13.0,13.0
20,6.0,18.0,12.0,12.0
21,22.0,8.0,-14.0,14.0
22,3.0,16.0,13.0,13.0
23,1.0,9.0,8.0,8.0
24,24.0,9.0,-15.0,15.0
25,4.0,14.0,10.0,10.0
26,4.0,14.0,10.0,10.0
27,24.0,7.0,-17.0,17.0
28,24.0,9.0,-15.0,15.0
29,24.0,10.0,-14.0,14.0
30,4.0,12.0,8.0,8.0
31,3.0,15.0,12.0,12.0
32,23.0,9.0,-14.0,14.0
33,1.0,10.0,9.0,9.0
34,5.0,13.0,8.0,8.0
35,5.0,10.0,5.0,5.0
36,3.0,8.0,5.0,5.0
37,24.0,10.0,-14.0,14.0
38,3.0,13.0,10.0,10.0
39,1.0,5.0,4.0,4.0
40,22.0,8.0,-14.0,14.0
41,24.0,8.0,-16.0,16.0
42,3.0,11.0,8.0,8.0
43,13.0,7.0,-6.0,6.0
44,24.0,9.0,-15.0,15.0
45,12.0,24.0,12.0,12.0
46,4.0,11.0,7.0,7.0
47,24.0,8.0,-16.0,16.0
48,24.0,10.0,-14.0,14.0
49,5.0,15.0,10.0,10.0
50,2.0,9.0,7.0,7.0
51,1.0,9.0,8.0,8.0
52,2.0,11.0,9.0,9.0
53,24.0,10.0,-14.0,14.0
54,1.0,12.0,11.0,11.0
55,2.0,8.0,6.0,6.0
56,4.0,11.0,7.0,7.0
57,2.0,14.0,12.0,12.0
58,7.0,18.0,11.0,11.0
59,2.0,10.0,8.0,8.0
66,1.0,9.0,8.0,8.0
67,2.0,13.0,11.0,11.0
68,2.0,10.0,8.0,8.0
70,2.0,8.0,6.0,6.0
72,1.0,9.0,8.0,8.0
74,4.0,13.0,9.0,9.0
75,13.0,8.0,-5.0,5.0
76,22.0,7.0,-15.0,15.0
77,3.0,14.0,11.0,11.0
78,2.0,12.0,10.0,10.0
80,2.0,11.0,9.0,9.0
81,1.0,9.0,8.0,8.0
82,2.0,13.0,11.0,11.0
83,3.0,9.0,6.0,6.0
84,1.0,19.0,18.0,18.0
85,1.0,9.0,8.0,8.0
86,24.0,6.0,-18.0,18.0
87,1.0,8.0,7.0,7.0
90,4.0,11.0,7.0,7.0
91,4.0,9.0,5.0,5.0
92,1.0,10.0,9.0,9.0
93,5.0,15.0,10.0,10.0
94,22.0,6.0,-16.0,16.0
95,1.0,12.0,11.0,11.0
96,3.0,10.0,7.0,7.0
97,2.0,10.0,8.0,8.0
98,11.0,8.0,-3.0,3.0
99,23.0,9.0,-14.0,14.0
100,1.0,9.0,8.0,8.0
101,24.0,10.0,-14.0,14.0
103,24.0,9.0,-15.0,15.0
104,2.0,11.0,9.0,9.0
106,24.0,10.0,-14.0,14.0
107,23.0,8.0,-15.0,15.0
108,3.0,14.0,11.0,11.0
109,4.0,12.0,8.0,8.0
111,2.0,9.0,7.0,7.0
112,2.0,11.0,9.0,9.0
240,1.0,10.0,9.0,9.0
241,12.0,10.0,-2.0,2.0
242,1.0,11.0,10.0,10.0
243,1.0,11.0,10.0,10.0
244,23.0,10.0,-13.0,13.0
245,24.0,19.0,-5.0,5.0
246,23.0,12.0,-11.0,11.0
247,20.0,10.0,-10.0,10.0
248,2.0,12.0,10.0,10.0
249,2.0,20.0,18.0,18.0
250,1.0,8.0,7.0,7.0
251,2.0,24.0,22.0,22.0
252,23.0,6.0,-17.0,17.0
253,2.0,9.0,7.0,7.0
254,1.0,9.0,8.0,8.0
255,24.0,10.0,-14.0,14.0
256,2.0,7.0,5.0,5.0
257,3.0,10.0,7.0,7.0
258,24.0,7.0,-17.0,17.0
259,2.0,12.0,10.0,10.0
260,2.0,10.0,8.0,8.0
261,24.0,7.0,-17.0,17.0
262,3.0,11.0,8.0,8.0
263,4.0,11.0,7.0,7.0
264,3.0,14.0,11.0,11.0
265,4.0,10.0,6.0,6.0
266,24.0,11.0,-13.0,13.0
267,2.0,11.0,9.0,9.0
268,1.0,8.0,7.0,7.0
269,1.0,7.0,6.0,6.0
270,5.0,15.0,10.0,10.0
271,2.0,9.0,7.0,7.0
272,4.0,10.0,6.0,6.0
273,2.0,12.0,10.0,10.0
274,2.0,11.0,9.0,9.0
275,4.0,15.0,11.0,11.0
276,24.0,11.0,-13.0,13.0
277,2.0,7.0,5.0,5.0
278,2.0,9.0,7.0,7.0
280,24.0,8.0,-16.0,16.0
281,2.0,10.0,8.0,8.0
282,4.0,13.0,9.0,9.0
283,3.0,13.0,10.0,10.0
284,1.0,9.0,8.0,8.0
285,2.0,9.0,7.0,7.0
286,24.0,8.0,-16.0,16.0
287,2.0,9.0,7.0,7.0
288,1.0,10.0,9.0,9.0
289,24.0,8.0,-16.0,16.0
290,24.0,10.0,-14.0,14.0
291,1.0,8.0,7.0,7.0
292,23.0,12.0,-11.0,11.0
293,3.0,13.0,10.0,10.0
294,23.0,8.0,-15.0,15.0
295,12.0,8.0,-4.0,4.0
296,24.0,11.0,-13.0,13.0
297,24.0,7.0,-17.0,17.0
298,2.0,10.0,8.0,8.0
299,24.0,10.0,-14.0,14.0
300,2.0,8.0,6.0,6.0
301,1.0,13.0,12.0,12.0
302,12.0,21.0,9.0,9.0
303,23.0,7.0,-16.0,16.0
304,4.0,11.0,7.0,7.0
305,24.0,9.0,-15.0,15.0
306,24.0,8.0,-16.0,16.0
307,24.0,11.0,-13.0,13.0
308,1.0,10.0,9.0,9.0
309,24.0,9.0,-15.0,15.0
310,3.0,9.0,6.0,6.0
311,23.0,7.0,-16.0,16.0
312,4.0,15.0,11.0,11.0
313,18.0,6.0,-12.0,12.0
314,23.0,5.0,-18.0,18.0
315,20.0,6.0,-14.0,14.0
316,4.0,16.0,12.0,12.0
317,2.0,13.0,11.0,11.0
318,4.0,10.0,6.0,6.0
319,5.0,3.0,-2.0,2.0
320,4.0,16.0,12.0,12.0
321,5.0,15.0,10.0,10.0
322,22.0,11.0,-11.0,11.0
323,1.0,21.0,20.0,20.0
324,1.0,6.0,5.0,5.0
325,23.0,6.0,-17.0,17.0
326,11.0,9.0,-2.0,2.0
327,12.0,6.0,-6.0,6.0
328,3.0,13.0,10.0,10.0
329,23.0,10.0,-13.0,13.0
330,3.0,9.0,6.0,6.0
331,3.0,15.0,12.0,12.0
332,2.0,7.0,5.0,5.0
333,1.0,10.0,9.0,9.0
334,3.0,12.0,9.0,9.0
335,9.0,15.0,6.0,6.0
336,5.0,23.0,18.0,18.0
337,5.0,14.0,9.0,9.0
338,1.0,11.0,10.0,10.0
339,3.0,13.0,10.0,10.0
340,1.0,9.0,8.0,8.0
341,2.0,10.0,8.0,8.0
342,24.0,23.0,-1.0,1.0
343,4.0,12.0,8.0,8.0
344,24.0,7.0,-17.0,17.0
345,1.0,12.0,11.0,11.0
346,22.0,6.0,-16.0,16.0
347,1.0,9.0,8.0,8.0
348,3.0,10.0,7.0,7.0
349,1.0,9.0,8.0,8.0
350,2.0,9.0,7.0,7.0
351,2.0,8.0,6.0,6.0
352,6.0,12.0,6.0,6.0
353,1.0,8.0,7.0,7.0
354,24.0,9.0,-15.0,15.0
355,2.0,10.0,8.0,8.0
356,2.0,11.0,9.0,9.0
357,1.0,11.0,10.0,10.0
358,24.0,8.0,-16.0,16.0
359,15.0,10.0,-5.0,5.0
360,3.0,11.0,8.0,8.0
361,6.0,7.0,1.0,1.0
362,4.0,11.0,7.0,7.0
363,22.0,7.0,-15.0,15.0
364,11.0,7.0,-4.0,4.0
365,1.0,8.0,7.0,7.0
366,22.0,10.0,-12.0,12.0
367,22.0,7.0,-15.0,15.0
368,1.0,11.0,10.0,10.0
380,2.0,8.0,6.0,6.0
381,23.0,9.0,-14.0,14.0
382,23.0,8.0,-15.0,15.0
384,23.0,6.0,-17.0,17.0
385,23.0,8.0,-15.0,15.0
386,23.0,7.0,-16.0,16.0
387,22.0,6.0,-16.0,16.0
388,22.0,8.0,-14.0,14.0
389,24.0,8.0,-16.0,16.0
390,23.0,10.0,-13.0,13.0
391,22.0,6.0,-16.0,16.0
400,2.0,10.0,8.0,8.0
401,22.0,7.0,-15.0,15.0
404,24.0,5.0,-19.0,19.0
405,1.0,9.0,8.0,8.0
406,24.0,7.0,-17.0,17.0
407,2.0,9.0,7.0,7.0
408,4.0,11.0,7.0,7.0
409,21.0,6.0,-15.0,15.0
410,24.0,6.0,-18.0,18.0
411,24.0,10.0,-14.0,14.0
412,2.0,11.0,9.0,9.0
413,10.0,8.0,-2.0,2.0
418,1.0,12.0,11.0,11.0
419,22.0,8.0,-14.0,14.0
420,2.0,14.0,12.0,12.0
421,21.0,19.0,-2.0,2.0
422,1.0,11.0,10.0,10.0
423,2.0,9.0,7.0,7.0
424,5.0,10.0,5.0,5.0
425,24.0,9.0,-15.0,15.0
432,2.0,13.0,11.0,11.0
433,24.0,8.0,-16.0,16.0
434,1.0,11.0,10.0,10.0
435,24.0,9.0,-15.0,15.0
436,3.0,9.0,6.0,6.0
437,2.0,10.0,8.0,8.0
440,24.0,9.0,-15.0,15.0
500,3.0,9.0,6.0,6.0
501,23.0,8.0,-15.0,15.0
502,23.0,8.0,-15.0,15.0
503,24.0,8.0,-16.0,16.0
504,22.0,6.0,-16.0,16.0
505,5.0,5.0,0.0,0.0
506,23.0,9.0,-14.0,14.0
507,2.0,7.0,5.0,5.0
508,2.0,9.0,7.0,7.0
509,23.0,10.0,-13.0,13.0
510,3.0,10.0,7.0,7.0
511,1.0,9.0,8.0,8.0
523,24.0,9.0,-15.0,15.0
524,1.0,9.0,8.0,8.0
525,1.0,10.0,9.0,9.0
526,1.0,17.0,16.0,16.0
527,1.0,9.0,8.0,8.0
536,22.0,8.0,-14.0,14.0
537,23.0,21.0,-2.0,2.0
538,1.0,9.0,8.0,8.0
539,1.0,8.0,7.0,7.0
540,23.0,10.0,-13.0,13.0
541,24.0,8.0,-16.0,16.0
542,6.0,5.0,-1.0,1.0
543,24.0,10.0,-14.0,14.0
544,2.0,8.0,6.0,6.0
551,1.0,9.0,8.0,8.0
552,23.0,9.0,-14.0,14.0
553,23.0,10.0,-13.0,13.0
554,1.0,12.0,11.0,11.0
555,23.0,6.0,-17.0,17.0
564,23.0,8.0,-15.0,15.0
565,4.0,9.0,5.0,5.0
566,12.0,8.0,-4.0,4.0
567,1.0,9.0,8.0,8.0
568,24.0,10.0,-14.0,14.0
569,24.0,8.0,-16.0,16.0
571,1.0,8.0,7.0,7.0
572,1.0,9.0,8.0,8.0
573,2.0,9.0,7.0,7.0
574,2.0,10.0,8.0,8.0
575,1.0,12.0,11.0,11.0
664,1.0,9.0,8.0,8.0
665,2.0,10.0,8.0,8.0
666,23.0,10.0,-13.0,13.0
667,23.0,11.0,-12.0,12.0
668,1.0,9.0,8.0,8.0
669,1.0,9.0,8.0,8.0
670,24.0,8.0,-16.0,16.0
671,24.0,12.0,-12.0,12.0
672,24.0,12.0,-12.0,12.0
673,11.0,9.0,-2.0,2.0
674,24.0,9.0,-15.0,15.0
675,14.0,9.0,-5.0,5.0
676,22.0,6.0,-16.0,16.0
677,2.0,9.0,7.0,7.0
678,24.0,7.0,-17.0,17.0
679,1.0,8.0,7.0,7.0
680,22.0,5.0,-17.0,17.0
681,23.0,8.0,-15.0,15.0
682,23.0,8.0,-15.0,15.0
683,23.0,7.0,-16.0,16.0
684,23.0,7.0,-16.0,16.0
685,24.0,9.0,-15.0,15.0
686,2.0,9.0,7.0,7.0
687,11.0,10.0,-1.0,1.0
688,23.0,8.0,-15.0,15.0
689,24.0,9.0,-15.0,15.0
690,1.0,10.0,9.0,9.0
691,23.0,8.0,-15.0,15.0
692,24.0,7.0,-17.0,17.0
693,2.0,8.0,6.0,6.0
694,1.0,8.0,7.0,7.0
695,2.0,9.0,7.0,7.0
696,1.0,11.0,10.0,10.0
697,1.0,10.0,9.0,9.0
698,24.0,9.0,-15.0,15.0
699,23.0,8.0,-15.0,15.0
700,1.0,7.0,6.0,6.0
701,1.0,7.0,6.0,6.0
702,1.0,9.0,8.0,8.0
703,1.0,9.0,8.0,8.0
704,22.0,9.0,-13.0,13.0
705,24.0,9.0,-15.0,15.0
706,1.0,9.0,8.0,8.0
707,4.0,7.0,3.0,3.0
708,2.0,8.0,6.0,6.0
709,3.0,9.0,6.0,6.0
710,2.0,6.0,4.0,4.0
711,22.0,8.0,-14.0,14.0
712,24.0,8.0,-16.0,16.0
713,24.0,9.0,-15.0,15.0
714,23.0,11.0,-12.0,12.0
715,3.0,7.0,4.0,4.0
716,23.0,6.0,-17.0,17.0
717,24.0,11.0,-13.0,13.0
718,1.0,8.0,7.0,7.0
719,1.0,22.0,21.0,21.0
720,1.0,9.0,8.0,8.0
721,1.0,8.0,7.0,7.0
722,1.0,9.0,8.0,8.0
723,24.0,8.0,-16.0,16.0
724,3.0,10.0,7.0,7.0
725,2.0,9.0,7.0,7.0
726,22.0,7.0,-15.0,15.0
727,24.0,7.0,-17.0,17.0
728,21.0,6.0,-15.0,15.0
729,2.0,7.0,5.0,5.0
730,2.0,10.0,8.0,8.0
731,3.0,9.0,6.0,6.0
732,24.0,8.0,-16.0,16.0
733,3.0,4.0,1.0,1.0
734,3.0,11.0,8.0,8.0
735,5.0,14.0,9.0,9.0
736,2.0,11.0,9.0,9.0
737,24.0,6.0,-18.0,18.0
738,3.0,20.0,17.0,17.0
739,3.0,10.0,7.0,7.0
740,2.0,9.0,7.0,7.0
741,24.0,9.0,-15.0,15.0
742,3.0,8.0,5.0,5.0
743,3.0,9.0,6.0,6.0
744,24.0,9.0,-15.0,15.0
745,1.0,9.0,8.0,8.0
746,20.0,5.0,-15.0,15.0
747,4.0,10.0,6.0,6.0
748,24.0,8.0,-16.0,16.0
749,1.0,13.0,12.0,12.0
750,24.0,13.0,-11.0,11.0
751,24.0,7.0,-17.0,17.0
752,24.0,9.0,-15.0,15.0
753,24.0,9.0,-15.0,15.0
754,23.0,8.0,-15.0,15.0
755,1.0,10.0,9.0,9.0
756,24.0,10.0,-14.0,14.0
759,9.0,7.0,-2.0,2.0
760,24.0,9.0,-15.0,15.0
761,2.0,9.0,7.0,7.0
762,1.0,10.0,9.0,9.0
774,24.0,8.0,-16.0,16.0
775,23.0,9.0,-14.0,14.0
779,24.0,11.0,-13.0,13.0
780,23.0,9.0,-14.0,14.0
781,23.0,9.0,-14.0,14.0
793,1.0,8.0,7.0,7.0
794,22.0,7.0,-15.0,15.0
795,22.0,9.0,-13.0,13.0
796,22.0,11.0,-11.0,11.0
797,23.0,11.0,-12.0,12.0
798,23.0,9.0,-14.0,14.0
803,21.0,10.0,-11.0,11.0
804,22.0,8.0,-14.0,14.0
805,23.0,8.0,-15.0,15.0
807,21.0,8.0,-13.0,13.0
808,23.0,10.0,-13.0,13.0
809,22.0,10.0,-12.0,12.0
810,22.0,7.0,-15.0,15.0
811,24.0,8.0,-16.0,16.0
818,23.0,8.0,-15.0,15.0
819,2.0,7.0,5.0,5.0
820,1.0,21.0,20.0,20.0
821,6.0,13.0,7.0,7.0
822,1.0,9.0,8.0,8.0
823,5.0,10.0,5.0,5.0
824,23.0,10.0,-13.0,13.0
825,1.0,8.0,7.0,7.0
830,22.0,7.0,-15.0,15.0
831,24.0,11.0,-13.0,13.0
832,4.0,11.0,7.0,7.0
833,1.0,10.0,9.0,9.0
835,2.0,12.0,10.0,10.0
838,3.0,10.0,7.0,7.0
851,23.0,9.0,-14.0,14.0
853,22.0,10.0,-12.0,12.0
854,2.0,10.0,8.0,8.0
855,24.0,10.0,-14.0,14.0
856,3.0,10.0,7.0,7.0
857,24.0,8.0,-16.0,16.0
858,12.0,9.0,-3.0,3.0
859,23.0,7.0,-16.0,16.0
860,1.0,9.0,8.0,8.0
861,2.0,10.0,8.0,8.0
862,1.0,12.0,11.0,11.0
863,1.0,13.0,12.0,12.0
864,1.0,11.0,10.0,10.0
865,1.0,9.0,8.0,8.0
866,4.0,10.0,6.0,6.0
868,1.0,11.0,10.0,10.0
869,23.0,10.0,-13.0,13.0
875,2.0,7.0,5.0,5.0
877,22.0,6.0,-16.0,16.0
878,24.0,11.0,-13.0,13.0
880,23.0,6.0,-17.0,17.0
881,4.0,12.0,8.0,8.0
882,4.0,10.0,6.0,6.0
887,1.0,10.0,9.0,9.0
888,14.0,10.0,-4.0,4.0
889,3.0,10.0,7.0,7.0
890,2.0,10.0,8.0,8.0
892,23.0,9.0,-14.0,14.0
895,24.0,21.0,-3.0,3.0
896,1.0,6.0,5.0,5.0
897,4.0,11.0,7.0,7.0
898,2.0,18.0,16.0,16.0
899,2.0,13.0,11.0,11.0
900,3.0,12.0,9.0,9.0
901,1.0,8.0,7.0,7.0
902,23.0,7.0,-16.0,16.0
903,1.0,10.0,9.0,9.0
904,2.0,10.0,8.0,8.0
905,3.0,11.0,8.0,8.0
906,4.0,11.0,7.0,7.0
907,1.0,11.0,10.0,10.0
921,24.0,11.0,-13.0,13.0
922,3.0,12.0,9.0,9.0
923,24.0,9.0,-15.0,15.0
924,23.0,7.0,-16.0,16.0
925,1.0,8.0,7.0,7.0
926,24.0,9.0,-15.0,15.0
927,3.0,10.0,7.0,7.0
928,23.0,6.0,-17.0,17.0
929,1.0,21.0,20.0,20.0
930,23.0,6.0,-17.0,17.0
931,23.0,8.0,-15.0,15.0
932,1.0,10.0,9.0,9.0
933,2.0,10.0,8.0,8.0
934,24.0,8.0,-16.0,16.0
935,1.0,10.0,9.0,9.0
936,1.0,9.0,8.0,8.0
937,24.0,9.0,-15.0,15.0
938,23.0,8.0,-15.0,15.0
939,22.0,7.0,-15.0,15.0
940,2.0,9.0,7.0,7.0
941,23.0,9.0,-14.0,14.0
942,3.0,8.0,5.0,5.0
943,1.0,7.0,6.0,6.0
944,24.0,9.0,-15.0,15.0
945,23.0,9.0,-14.0,14.0
946,24.0,20.0,-4.0,4.0
947,22.0,6.0,-16.0,16.0
948,22.0,9.0,-13.0,13.0
949,24.0,9.0,-15.0,15.0
950,2.0,10.0,8.0,8.0
951,1.0,10.0,9.0,9.0
952,23.0,8.0,-15.0,15.0
953,1.0,13.0,12.0,12.0
954,24.0,8.0,-16.0,16.0
955,2.0,11.0,9.0,9.0
956,24.0,21.0,-3.0,3.0
957,1.0,8.0,7.0,7.0
958,24.0,8.0,-16.0,16.0
959,22.0,8.0,-14.0,14.0
960,23.0,9.0,-14.0,14.0
961,24.0,8.0,-16.0,16.0
962,2.0,10.0,8.0,8.0
963,24.0,8.0,-16.0,16.0
964,24.0,10.0,-14.0,14.0
965,24.0,9.0,-15.0,15.0
966,1.0,9.0,8.0,8.0
967,21.0,7.0,-14.0,14.0
968,3.0,9.0,6.0,6.0
969,24.0,8.0,-16.0,16.0
970,3.0,8.0,5.0,5.0
971,24.0,6.0,-18.0,18.0
972,24.0,9.0,-15.0,15.0
973,3.0,11.0,8.0,8.0
974,2.0,9.0,7.0,7.0
975,2.0,11.0,9.0,9.0
976,24.0,11.0,-13.0,13.0
977,1.0,7.0,6.0,6.0
978,1.0,10.0,9.0,9.0
979,24.0,9.0,-15.0,15.0
980,23.0,8.0,-15.0,15.0
981,1.0,9.0,8.0,8.0
982,23.0,8.0,-15.0,15.0
983,23.0,8.0,-15.0,15.0
984,24.0,9.0,-15.0,15.0
985,22.0,10.0,-12.0,12.0
986,1.0,20.0,19.0,19.0
987,12.0,24.0,12.0,12.0
988,24.0,9.0,-15.0,15.0
989,2.0,11.0,9.0,9.0
990,23.0,8.0,-15.0,15.0
991,4.0,11.0,7.0,7.0
992,2.0,9.0,7.0,7.0
993,2.0,9.0,7.0,7.0
994,10.0,11.0,1.0,1.0
995,2.0,8.0,6.0,6.0
996,4.0,10.0,6.0,6.0
997,2.0,8.0,6.0,6.0
998,10.0,2.0,-8.0,8.0
999,3.0,9.0,6.0,6.0
1000,12.0,9.0,-3.0,3.0
1001,24.0,10.0,-14.0,14.0
1002,23.0,7.0,-16.0,16.0
1003,3.0,6.0,3.0,3.0
1004,23.0,6.0,-17.0,17.0
1005,23.0,7.0,-16.0,16.0
1006,24.0,8.0,-16.0,16.0
1007,24.0,11.0,-13.0,13.0
1008,2.0,9.0,7.0,7.0
1009,2.0,9.0,7.0,7.0
1010,24.0,9.0,-15.0,15.0
1011,23.0,6.0,-17.0,17.0
1012,23.0,8.0,-15.0,15.0
1013,24.0,6.0,-18.0,18.0
1014,22.0,19.0,-3.0,3.0
1015,23.0,9.0,-14.0,14.0
1016,24.0,10.0,-14.0,14.0
1017,1.0,10.0,9.0,9.0
1018,23.0,6.0,-17.0,17.0
1019,2.0,8.0,6.0,6.0
1020,3.0,10.0,7.0,7.0
1021,1.0,21.0,20.0,20.0
1022,4.0,12.0,8.0,8.0
1023,1.0,12.0,11.0,11.0
1024,3.0,11.0,8.0,8.0
1025,1.0,10.0,9.0,9.0
1026,24.0,10.0,-14.0,14.0
1027,2.0,10.0,8.0,8.0
1028,3.0,8.0,5.0,5.0
1029,2.0,9.0,7.0,7.0
1030,24.0,10.0,-14.0,14.0
1031,22.0,8.0,-14.0,14.0
1032,24.0,9.0,-15.0,15.0
1033,24.0,9.0,-15.0,15.0
1034,3.0,7.0,4.0,4.0
1035,24.0,7.0,-17.0,17.0
1036,24.0,13.0,-11.0,11.0
1037,3.0,10.0,7.0,7.0
1038,22.0,8.0,-14.0,14.0
1039,1.0,8.0,7.0,7.0
1040,23.0,10.0,-13.0,13.0
1041,12.0,9.0,-3.0,3.0
1042,24.0,7.0,-17.0,17.0
1043,23.0,7.0,-16.0,16.0
1044,1.0,19.0,18.0,18.0
1045,24.0,9.0,-15.0,15.0
1046,1.0,9.0,8.0,8.0
1047,23.0,9.0,-14.0,14.0
1048,24.0,9.0,-15.0,15.0
1049,1.0,8.0,7.0,7.0
1050,1.0,10.0,9.0,9.0
1051,24.0,9.0,-15.0,15.0
1052,12.0,9.0,-3.0,3.0
1053,4.0,24.0,20.0,20.0
1054,24.0,7.0,-17.0,17.0
1055,1.0,10.0,9.0,9.0
1056,1.0,13.0,12.0,12.0
1057,24.0,10.0,-14.0,14.0
1058,23.0,8.0,-15.0,15.0
1059,24.0,9.0,-15.0,15.0
1060,1.0,21.0,20.0,20.0
1061,23.0,11.0,-12.0,12.0
1062,3.0,8.0,5.0,5.0
1063,24.0,9.0,-15.0,15.0
1064,2.0,11.0,9.0,9.0
1065,23.0,9.0,-14.0,14.0
1066,2.0,8.0,6.0,6.0
1067,22.0,6.0,-16.0,16.0
1072,24.0,10.0,-14.0,14.0
1073,2.0,8.0,6.0,6.0
1074,24.0,9.0,-15.0,15.0
1076,21.0,18.0,-3.0,3.0
1077,22.0,9.0,-13.0,13.0
1078,23.0,8.0,-15.0,15.0
1083,23.0,7.0,-16.0,16.0
1086,12.0,7.0,-5.0,5.0
1087,23.0,7.0,-16.0,16.0
1088,24.0,8.0,-16.0,16.0
1089,23.0,11.0,-12.0,12.0
1091,23.0,8.0,-15.0,15.0
1093,24.0,6.0,-18.0,18.0
1094,22.0,7.0,-15.0,15.0
1095,1.0,9.0,8.0,8.0
1096,22.0,8.0,-14.0,14.0
1097,23.0,8.0,-15.0,15.0
1098,22.0,9.0,-13.0,13.0
1100,12.0,8.0,-4.0,4.0
1101,22.0,7.0,-15.0,15.0
1102,5.0,11.0,6.0,6.0
1104,23.0,20.0,-3.0,3.0
1113,23.0,7.0,-16.0,16.0
1115,12.0,8.0,-4.0,4.0
1116,11.0,8.0,-3.0,3.0
1117,1.0,11.0,10.0,10.0
1118,22.0,8.0,-14.0,14.0
1120,24.0,20.0,-4.0,4.0
1121,22.0,9.0,-13.0,13.0
1130,23.0,10.0,-13.0,13.0
1131,22.0,19.0,-3.0,3.0
1132,7.0,9.0,2.0,2.0
1133,23.0,10.0,-13.0,13.0
1134,1.0,10.0,9.0,9.0
1135,12.0,10.0,-2.0,2.0
1136,23.0,9.0,-14.0,14.0
1137,24.0,8.0,-16.0,16.0
1140,24.0,7.0,-17.0,17.0
1142,23.0,8.0,-15.0,15.0
1144,22.0,8.0,-14.0,14.0
1146,11.0,10.0,-1.0,1.0
1147,23.0,10.0,-13.0,13.0
1148,22.0,8.0,-14.0,14.0
1149,2.0,6.0,4.0,4.0
1150,23.0,20.0,-3.0,3.0
1151,24.0,8.0,-16.0,16.0
1155,21.0,6.0,-15.0,15.0
1156,1.0,8.0,7.0,7.0
1159,23.0,21.0,-2.0,2.0
1160,1.0,9.0,8.0,8.0
1161,1.0,9.0,8.0,8.0
1163,1.0,9.0,8.0,8.0
1164,11.0,9.0,-2.0,2.0
1174,22.0,6.0,-16.0,16.0
1177,10.0,19.0,9.0,9.0
1178,24.0,10.0,-14.0,14.0
1181,23.0,9.0,-14.0,14.0
1182,1.0,11.0,10.0,10.0
1183,23.0,18.0,-5.0,5.0
1184,3.0,12.0,9.0,9.0
1185,24.0,8.0,-16.0,16.0
1186,1.0,8.0,7.0,7.0
1187,22.0,7.0,-15.0,15.0
1188,23.0,7.0,-16.0,16.0
1189,11.0,20.0,9.0,9.0
1190,2.0,9.0,7.0,7.0
1191,2.0,9.0,7.0,7.0
1192,24.0,8.0,-16.0,16.0
1193,12.0,8.0,-4.0,4.0
1194,24.0,9.0,-15.0,15.0
1195,23.0,8.0,-15.0,15.0
1196,1.0,8.0,7.0,7.0
1197,12.0,8.0,-4.0,4.0
1198,24.0,9.0,-15.0,15.0
1199,1.0,8.0,7.0,7.0
1200,24.0,10.0,-14.0,14.0
1201,5.0,13.0,8.0,8.0
1202,23.0,9.0,-14.0,14.0
1203,2.0,8.0,6.0,6.0
1204,2.0,8.0,6.0,6.0
1205,2.0,8.0,6.0,6.0
1206,23.0,11.0,-12.0,12.0
1207,23.0,8.0,-15.0,15.0
1208,23.0,11.0,-12.0,12.0
1209,23.0,7.0,-16.0,16.0
1210,2.0,8.0,6.0,6.0
1211,2.0,9.0,7.0,7.0
1212,24.0,7.0,-17.0,17.0
1213,1.0,8.0,7.0,7.0
1214,1.0,7.0,6.0,6.0
1215,1.0,9.0,8.0,8.0
1216,23.0,18.0,-5.0,5.0
1217,2.0,11.0,9.0,9.0
1218,3.0,11.0,8.0,8.0
1219,23.0,10.0,-13.0,13.0
1220,22.0,9.0,-13.0,13.0
1221,24.0,19.0,-5.0,5.0
1222,12.0,7.0,-5.0,5.0
1223,2.0,11.0,9.0,9.0
1224,23.0,22.0,-1.0,1.0
1225,23.0,11.0,-12.0,12.0
1226,1.0,7.0,6.0,6.0
1227,22.0,9.0,-13.0,13.0
1228,24.0,11.0,-13.0,13.0
1229,2.0,9.0,7.0,7.0
1230,23.0,8.0,-15.0,15.0
1231,2.0,13.0,11.0,11.0
1232,11.0,6.0,-5.0,5.0
1233,2.0,17.0,15.0,15.0
1234,3.0,11.0,8.0,8.0
1235,2.0,10.0,8.0,8.0
1236,2.0,9.0,7.0,7.0
1237,2.0,10.0,8.0,8.0
1238,1.0,11.0,10.0,10.0
1239,2.0,9.0,7.0,7.0
1240,24.0,8.0,-16.0,16.0
1241,9.0,11.0,2.0,2.0
1242,2.0,8.0,6.0,6.0
1243,13.0,7.0,-6.0,6.0
1244,24.0,8.0,-16.0,16.0
