,Variables,Euclidean distance
272,BMI_0,0.0
249,O_SYMP4_0,0.5674081444740295
251,O_SYMP5_0,0.5801485180854797
245,O_SYMP2_0,0.6044705510139465
314,V_TRT_1,0.6253703832626343
219,O_OCP2_9999,0.629224419593811
339,AC_ACCESS_1,0.6436023116111755
333,AC_AMNT_0,0.6456893682479858
247,O_SYMP3_0,0.646384596824646
218,O_OCP1_9999,0.6588754653930664
241,O_SYMP1_0,0.6612035632133484
223,O_OCP4_9999,0.6651796102523804
203,M_SUI_PLN_1,0.6674342751502991
335,AC_DRUNK_0,0.6702545285224915
387,TC_DAGE_9999,0.6719649434089661
363,TC_HTP_MN_0,0.6757534742355347
305,I_SCH_ED1_9999,0.6845607757568359
233,O_SCL_1,0.6878871917724609
361,TC_HTP_LT_1,0.6893095970153809
201,M_SAD_1,0.7009433507919312
204,M_SUI_ATT_1,0.7025850415229797
235,PR_OH_3,0.703452467918396
227,O_DC_FQ_2,0.7151239514350891
221,O_OCP3_9999,0.7191138863563538
302,I_SCH_TRT_1,0.7339443564414978
202,M_SUI_CON_1,0.7341152429580688
307,I_SCH_ED2_2,0.7384887933731079
213,O_BR_S_4,0.7387123107910156
243,O_SYMP1_1_0,0.7436330914497375
417,TC_SND_S_1,0.7486709356307983
351,TC_EC_LT_1,0.7552604079246521
411,TC_SND_H_1,0.7569418549537659
237,PR_OH_2,0.7587181329727173
404,TC_ACCESS_1,0.7594577074050903
231,O_SLNT_1,0.7605348825454712
277,HW_S_R_2,0.7616974115371704
212,O_BR_SLP_1,0.7674641013145447
206,O_BR_FQ_3,0.7771260738372803
353,TC_EC_MN_0,0.7851581573486328
214,O_BR_S_3,0.7873288989067078
246,O_SYMP2_1,0.7941668033599854
343,TC_LT_1,0.7944522500038147
445,S_CONT_M_9999,0.7991576194763184
228,O_DC_FQ_3,0.8056793808937073
399,TC_AMNT_0,0.8066862225532532
199,M_SLP_EN_3,0.8133738040924072
205,O_BR_FQ_4,0.8180747032165527
215,O_BR_S_2,0.8231337666511536
456,DR_LT_0,0.8308243155479431
200,M_SLP_EN_2,0.8411161303520203
290,I_SB_FR_2,0.8504666090011597
285,HW_S_R_3,0.8517342209815979
460,AS_DG_LT_1,0.8609449863433838
439,S_SI_1,0.8651196956634521
216,O_BR_S_1,0.8652100563049316
303,I_SCH_TRT_2,0.867708146572113
345,TC_DAYS_0,0.8691869378089905
454,DR_EXP_1,0.8727354407310486
300,I_SB_EX_3,0.8815301060676575
278,HW_S_R_1,0.8828026056289673
298,I_SB_EX_2,0.8855717778205872
234,O_SCL_2,0.8968479633331299
232,O_SLNT_2,0.9007633924484253
197,M_SLP_EN_4,0.9031467437744141
442,S_CONT_9999,0.9075310826301575
220,O_OCP2_2,0.9081934094429016
301,I_SB_EX_1,0.9087772369384766
291,I_SB_FR_3,0.9230947494506836
72,F_CS_F06_9999,0.9292359352111816
226,O_OCP5_5,0.9410113096237183
452,S_EDU_2,0.9418163299560547
224,O_OCP4_4,0.943185031414032
424,TC_SND_P_1,0.944101095199585
230,O_DC_FQ_4,0.9491705894470215
299,I_SB_EX_4,0.950796902179718
410,TC_QT_YR_9999,0.964430570602417
78,F_CS_F09_9999,0.9783874154090881
279,HW_S_R_7,0.9858962893486023
309,I_SCH_ED3_3,0.9894422292709351
229,O_DC_FQ_5,0.9914838075637817
176,PA_TRA_MM_0,0.9943451881408691
253,O_SYMP6_0,0.9954156875610352
238,PR_OH_4,0.997954249382019
207,O_BR_FQ_10,0.9983710646629333
250,O_SYMP4_1,1.00355064868927
76,F_CS_F08_9999,1.0055843591690063
306,I_SCH_ED2_9999,1.006486415863037
217,O_OCP1_1,1.0141735076904297
287,HW_EDU_1,1.0208653211593628
208,O_BR_FQ_5,1.0231330394744873
289,I_SB_FR_1,1.0372580289840698
70,F_CS_F05_9999,1.0407525300979614
412,TC_SND_H_4,1.0408762693405151
198,M_SLP_EN_1,1.045129656791687
496,E_RES_1,1.0505117177963257
321,AC_LT_1,1.0509681701660156
264,HW_SPML_H_2,1.0556377172470093
423,TC_SND_P_2,1.060077428817749
292,I_SB_FR_4,1.0602530241012573
222,O_OCP3_3,1.0645225048065186
193,M_STR_3,1.0654362440109253
62,F_CS_F01_9999,1.0658628940582275
280,HW_S_R_9,1.0669927597045898
284,HW_S_R_8,1.0677690505981445
281,HW_S_R_5,1.067819356918335
82,F_CS_F11_9999,1.0687084197998047
295,I_SB_BK_3,1.069092869758606
64,F_CS_F02_9999,1.070344090461731
179,PA_TRA_MM_1,1.0762107372283936
254,O_EDU_1,1.0769901275634766
427,TC_SND_P_4,1.0868507623672485
372,TC_FAGE_14,1.0916486978530884
296,I_SB_BK_4,1.0947773456573486
414,TC_SND_H_2,1.0962014198303223
225,O_OCP5_9999,1.0971219539642334
209,O_BR_FQ_2,1.0978986024856567
194,M_STR_2,1.0992194414138794
81,F_CS_F10_9999,1.0992240905761719
425,TC_SND_P_3,1.099478840827942
288,HW_EDU_2,1.1035199165344238
195,M_STR_4,1.108106255531311
261,HW_SPRM_S_2,1.1176352500915527
413,TC_SND_H_3,1.1186412572860718
266,HW_SPML_H_3,1.1215760707855225
269,HW_SPRM_H_1,1.1248396635055542
178,PA_TRA_MM_2,1.1261361837387085
236,PR_OH_1,1.1306273937225342
248,O_SYMP3_1,1.1314374208450317
323,AC_FAGE_14,1.1315945386886597
461,AS_DG_YR_0,1.1463812589645386
260,HW_SPRM_S_1,1.1493897438049316
66,F_CS_F03_9999,1.1500041484832764
255,O_EDU_2,1.166260004043579
416,TC_SND_H_5,1.1792670488357544
177,PA_TRA_MM_3,1.1977871656417847
73,F_CS_F06_6,1.1981451511383057
324,AC_FAGE_1,1.2080641984939575
328,AC_DAYS_0,1.2084399461746216
262,HW_SPRM_S_3,1.2131685018539429
69,F_CS_F04_9999,1.2136335372924805
327,AC_FAGE_6,1.213973045349121
240,O_SYMP1_1,1.2222236394882202
65,F_CS_F02_2,1.223915934562683
294,I_SB_BK_2,1.232946753501892
79,F_CS_F09_9,1.240317940711975
453,S_EDU_1,1.24241304397583
196,M_STR_5,1.243080735206604
83,F_CS_F11_11,1.244812250137329
71,F_CS_F05_5,1.2467705011367798
77,F_CS_F08_8,1.250153660774231
268,HW_SPRM_H_2,1.2508457899093628
252,O_SYMP5_1,1.251373529434204
174,PA_TRA_3,1.2579174041748047
175,PA_TRA_7,1.2636233568191528
56,F_CS_2,1.2639025449752808
173,PA_TRA_5,1.2660776376724243
265,HW_SPML_H_1,1.269700050354004
244,O_SYMP1_1_1,1.2734626531600952
161,PA_SWK_N_11,1.2779934406280518
210,O_BR_FQ_8,1.2786798477172852
172,PA_TRA_2,1.279299259185791
308,I_SCH_ED3_9999,1.279420018196106
415,TC_SND_H_6,1.2879313230514526
171,PA_TRA_4,1.2881956100463867
167,PA_ST_4,1.2893627882003784
341,AC_ACCESS_2,1.2911252975463867
312,I_SCH_ED5_9999,1.2915691137313843
166,PA_ST_5,1.2976547479629517
466,ECZ_DG_LT_1,1.3036706447601318
428,TC_SND_P_5,1.3043797016143799
67,F_CS_F03_3,1.3060057163238525
326,AC_FAGE_11,1.3106584548950195
316,V_TRT_2,1.316584825515747
63,F_CS_F01_1,1.3178331851959229
310,I_SCH_ED4_9999,1.3199151754379272
420,TC_SND_S_2,1.3354507684707642
58,F_CS_3,1.3447613716125488
325,AC_FAGE_10,1.3475043773651123
322,AC_FAGE_9,1.3528993129730225
419,TC_SND_S_4,1.3562865257263184
19,F_SODA_6,1.3584506511688232
55,F_CS_4,1.3617055416107178
80,F_CS_F10_10,1.3713289499282837
418,TC_SND_S_3,1.3734570741653442
430,TC_GHW_2,1.375993013381958
286,HW_S_R_6,1.3803155422210693
283,HW_S_R_10,1.389212965965271
293,I_SB_FR_5,1.3900195360183716
143,PA_SWD_N_6,1.407157301902771
170,PA_TRA_6,1.4107998609542847
242,O_SYMP1_1_2,1.418870449066162
297,I_SB_BK_1,1.4223213195800781
61,F_CS_6,1.4242403507232666
168,PA_TRA_1,1.4243656396865845
270,HW_SPRM_H_3,1.4246246814727783
258,HW_SPML_S_2,1.4293062686920166
407,TC_ACCESS_2,1.4351980686187744
