,Variables,Euclidean distance
375,AC_FAGE_8,1.2110764980316162
235,M_SLP_EN_5,1.2111080884933472
299,O_SYMP5_1,1.211404800415039
535,S_EDU_1,1.211601972579956
378,AC_FAGE_7,1.2125060558319092
491,TC_SND_H_5,1.2133044004440308
193,PA_TRA_1,1.2158399820327759
241,M_SUI_CON_2,1.2201972007751465
198,PA_TRA_5,1.2238634824752808
195,PA_TRA_6,1.2268494367599487
358,I_SCH_ED3_9999,1.2287626266479492
362,I_SCH_ED5_9999,1.2302531003952026
287,O_SYMP1_1,1.230592131614685
379,AC_FAGE_11,1.2345731258392334
202,PA_TRA_MM_3,1.2377530336380005
291,O_SYMP1_1_0,1.2417031526565552
95,F_CS_F11_11,1.256280541419983
89,F_CS_F08_8,1.2588409185409546
376,AC_FAGE_1,1.2589740753173828
79,F_CS_F03_3,1.259850263595581
317,HW_SPRM_H_1,1.264503836631775
77,F_CS_F02_2,1.2655613422393799
203,PA_TRA_MM_2,1.2732900381088257
253,O_BR_FQ_6,1.275809645652771
388,AC_DAYS_9999,1.2772477865219116
342,I_SB_BK_5,1.2891242504119873
490,TC_SND_H_7,1.2894636392593384
85,F_CS_F06_6,1.2934256792068481
191,PA_ST_5,1.300760269165039
194,PA_TRA_8,1.3022875785827637
248,O_BR_FQ_7,1.3061106204986572
75,F_CS_F01_1,1.307485818862915
307,HW_SPML_S_4,1.3087289333343506
505,TC_SND_P_5,1.3105707168579102
385,AC_FAGE_5,1.313804268836975
409,AC_ACCESS_2,1.3165770769119263
373,AC_FAGE_9,1.317016363143921
381,AC_FAGE_3,1.319639801979065
192,PA_ST_4,1.3221319913864136
183,PA_SWK_N_11,1.3269680738449097
316,HW_SPRM_H_2,1.3271994590759277
334,HW_S_R_6,1.330094575881958
377,AC_FAGE_10,1.3329037427902222
254,O_BR_FQ_8,1.3378709554672241
232,M_STR_1,1.3386483192443848
331,HW_S_R_10,1.33870530128479
68,F_CS_2,1.3408375978469849
371,AC_LT_2,1.343930721282959
384,AC_FAGE_4,1.3474409580230713
341,I_SB_FR_5,1.3482098579406738
380,AC_FAGE_2,1.3491027355194092
489,TC_SND_H_6,1.3497871160507202
553,ECZ_DG_LT_2,1.353001594543457
496,TC_SND_S_2,1.3544458150863647
555,ECZ_DG_YR_1,1.3550543785095215
366,V_TRT_2,1.3670976161956787
28,F_SODA_6,1.3679331541061401
92,F_CS_F10_10,1.3713748455047607
305,HW_SPML_S_1,1.3721503019332886
508,TC_GHW_2,1.3764358758926392
361,I_SCH_ED4_4,1.3814462423324585
302,O_EDU_1,1.3840916156768799
383,AC_FAGE_13,1.3848328590393066
243,M_SUI_PLN_2,1.3854669332504272
72,F_CS_5,1.3871382474899292
363,I_SCH_ED5_5,1.3881213665008545
67,F_CS_4,1.3936638832092285
289,O_SYMP1_1_1,1.3969252109527588
493,TC_SND_S_3,1.400490403175354
507,TC_SND_P_6,1.4037210941314697
495,TC_SND_S_4,1.4066120386123657
125,PA_WLK_7,1.4068410396575928
70,F_CS_3,1.4141912460327148
158,PA_SWD_N_6,1.4186257123947144
382,AC_FAGE_12,1.4190729856491089
180,PA_SWK_N_7,1.4257169961929321
182,PA_SWK_N_9,1.43052339553833
551,RH_DG_YR_1,1.4427509307861328
135,PA_WLK_MM_3,1.4436075687408447
167,PA_SWK_S_7,1.4462857246398926
33,F_CAFFEINE_5,1.44804847240448
130,PA_WLK_3,1.4527643918991089
170,PA_SWK_S_9,1.4550689458847046
604,GRADE_3,1.455640196800232
189,PA_ST_3,1.4561878442764282
522,S_CONT_4,1.4568589925765991
603,GRADE_2,1.463747501373291
147,PA_SWD_S_11,1.4672677516937256
126,PA_WLK_5,1.4690722227096558
497,TC_SND_S_5,1.4709258079528809
163,PA_SWK_S_5,1.4714919328689575
35,F_CAFFEINE_6,1.472023367881775
554,ECZ_DG_YR_9999,1.4738820791244507
129,PA_WLK_4,1.4741774797439575
164,PA_SWK_S_4,1.479017972946167
583,AGE_14,1.4808460474014282
506,TC_SND_P_7,1.4828625917434692
143,PA_SWD_S_5,1.4873136281967163
168,PA_SWK_S_8,1.4885098934173584
80,F_CS_F04_4,1.4932390451431274
480,TC_ACCESS_2,1.4945509433746338
87,F_CS_F07_9999,1.4950262308120728
169,PA_SWK_S_10,1.4975841045379639
128,PA_WLK_2,1.4981204271316528
498,TC_SND_S_6,1.5003420114517212
145,PA_SWD_S_3,1.501033067703247
96,F_CS_F12_9999,1.5015751123428345
176,PA_SWK_N_8,1.5023424625396729
144,PA_SWD_S_6,1.5065031051635742
165,PA_SWK_S_6,1.5071913003921509
303,O_EDU_2,1.5089995861053467
73,F_CS_6,1.5104868412017822
321,HW_SPGO_H_2,1.510586142539978
547,RH_DG_LT_1,1.512141227722168
550,RH_DG_YR_2,1.5139598846435547
393,AC_DAYS_5,1.5165265798568726
174,PA_SWK_N_6,1.5187337398529053
286,PR_OH_5,1.5201810598373413
330,HW_S_R_4,1.5255440473556519
258,O_BR_SLP_3,1.528633713722229
48,F_FASTFOOD_6,1.528780460357666
255,O_BR_FQ_9,1.529068112373352
148,PA_SWD_S_4,1.5295507907867432
578,AGE_15,1.530005693435669
102,F_WAT_1,1.5316712856292725
178,PA_SWK_N_4,1.5320018529891968
410,AC_ACCESS_3,1.5322673320770264
149,PA_SWD_S_12,1.5347871780395508
50,F_FASTFOOD_5,1.5414119958877563
207,WC_MN_4,1.5414402484893799
134,PA_WLK_MM_2,1.5426291227340698
171,PA_SWK_N_10,1.5431619882583618
447,TC_FAGE_7,1.5459400415420532
444,TC_FAGE_11,1.5461331605911255
400,AC_AMNT_3,1.546870231628418
150,PA_SWD_S_13,1.5479007959365845
190,PA_ST_2,1.551271915435791
177,PA_SWK_N_3,1.5520271062850952
136,PA_SWD_S_7,1.5520691871643066
346,I_SB_BK_1,1.5533877611160278
188,PA_ST_1,1.553612470626831
418,TC_DAYS_1,1.5557618141174316
175,PA_SWK_N_2,1.5612069368362427
581,AGE_13,1.5630834102630615
390,AC_DAYS_3,1.5644794702529907
127,PA_WLK_6,1.5652134418487549
318,HW_SPRM_H_3,1.5673452615737915
146,PA_SWD_S_9,1.5686671733856201
166,PA_SWK_S_3,1.5696582794189453
47,F_FASTFOOD_4,1.5704879760742188
322,HW_SPGO_H_1,1.5719212293624878
133,PA_WLK_MM_4,1.5734719038009644
34,F_CAFFEINE_4,1.576215147972107
137,PA_SWD_S_2,1.5775750875473022
323,HW_SPGO_H_3,1.5780575275421143
152,PA_SWD_N_5,1.578383207321167
391,AC_DAYS_2,1.5805137157440186
565,INT_WK_2,1.5816168785095215
119,PA_MSC_5,1.5855040550231934
503,TC_SND_P_8,1.5876946449279785
690,E_BORN_M_7,1.588494062423706
315,HW_SPML_H_4,1.5887670516967773
172,PA_SWK_N_1,1.5888108015060425
187,PA_PE_FQ_3,1.5895051956176758
398,AC_AMNT_1,1.5924659967422485
138,PA_SWD_S_10,1.593813419342041
161,PA_SWK_S_2,1.5938687324523926
173,PA_SWK_N_5,1.5944722890853882
151,PA_SWD_N_4,1.5958523750305176
387,AC_DAYS_4,1.5981827974319458
510,TC_GHW_H_1,1.5996793508529663
139,PA_SWD_S_8,1.6003154516220093
124,PA_WLK_1,1.6035842895507812
252,O_BR_FQ_1,1.6050993204116821
140,PA_SWD_S_14,1.6054404973983765
186,PA_PE_FQ_2,1.6163241863250732
520,S_SI_2,1.616371750831604
160,PA_SWK_S_11,1.6182409524917603
155,PA_SWD_N_2,1.6206566095352173
494,TC_SND_S_8,1.6224989891052246
392,AC_DAYS_6,1.6231030225753784
110,PA_TOT_7,1.625101923942566
543,AS_DG_LT_2,1.6256331205368042
153,PA_SWD_N_3,1.6276439428329468
245,M_SUI_ATT_2,1.6277259588241577
162,PA_SWK_S_1,1.6300519704818726
131,PA_WLK_MM_1,1.6326333284378052
354,I_SCH_ED1_1,1.6337178945541382
65,F_EDU_2,1.6356689929962158
66,F_EDU_1,1.6403427124023438
446,TC_FAGE_6,1.6439260244369507
179,PA_SWK_N_0,1.6440106630325317
549,RH_DG_YR_9999,1.6455743312835693
399,AC_AMNT_2,1.6455875635147095
597,E_RES_4,1.6456853151321411
181,PA_SWK_N_12,1.6466056108474731
154,PA_SWD_N_1,1.647011399269104
116,PA_VIG_5,1.6489826440811157
142,PA_SWD_S_1,1.6512342691421509
408,AC_ACCESS_4,1.6526265144348145
156,PA_SWD_N_0,1.6548389196395874
445,TC_FAGE_8,1.6559638977050781
593,E_SES_1,1.6572871208190918
546,AS_DG_YR_1,1.6576727628707886
311,HW_SPRM_S_4,1.658392310142517
556,ECZ_DG_YR_2,1.6632556915283203
123,PA_WLK_8,1.664260745048523
132,PA_WLK_MM_0,1.6665514707565308
411,TC_LT_2,1.6681164503097534
157,PA_SWD_N_7,1.669118046760559
43,F_SWDRINK_6,1.6699116230010986
509,TC_GHW_1,1.674452304840088
209,WC_MN_M01_9999,1.6771602630615234
185,PA_PE_FQ_4,1.6776392459869385
707,SleepAvg_WK_3,1.6800042390823364
27,F_SODA_5,1.6823209524154663
513,TC_GHW_H_3,1.684922456741333
395,AC_AMNT_4,1.6869546175003052
425,TC_EC_MN_1,1.6902778148651123
448,TC_FAGE_12,1.6919697523117065
208,WC_MN_M01_0,1.6976559162139893
443,TC_FAGE_9,1.698563814163208
141,PA_SWD_S_0,1.698734998703003
