,Variables,Euclidean distance
153,AC_DAYS_6,2.3263332843780518
154,PA_SWD_N_4,2.32650089263916
155,TC_EC_LT_2,2.3269190788269043
156,PA_WLK_1,2.3282735347747803
157,PA_TRA_6,2.3325095176696777
158,TC_FAGE_10,2.3458409309387207
159,PA_WLK_6,2.3465261459350586
160,TC_FAGE_4,2.3467257022857666
161,F_CS_F06_6,2.3468430042266846
162,TC_EC_MN_1,2.348453998565674
163,TC_FAGE_9,2.3490893840789795
164,TC_SND_P_2,2.3574836254119873
165,PA_SWD_S_8,2.3688831329345703
166,TC_DAYS_4,2.372018337249756
167,TC_FAGE_8,2.3738362789154053
168,TC_FAGE_11,2.3759779930114746
169,PA_SWK_S_3,2.3765451908111572
170,WC_MN_4,2.3775794506073
171,PA_SWD_S_1,2.387101650238037
172,PA_SWK_N_4,2.3923721313476562
173,TC_FAGE_6,2.3946003913879395
174,TC_DAYS_6,2.3998289108276367
175,PA_SWK_N_0,2.4064252376556396
176,TC_SND_P_8,2.407149076461792
177,PA_SWD_S_10,2.4101760387420654
178,TC_DAGE_2,2.41290545463562
179,HW_SPRM_H_4,2.415239095687866
180,TC_FAGE_3,2.416973114013672
181,PA_TOT_5,2.4327447414398193
182,PA_TRA_MM_1,2.4357471466064453
183,TC_DAYS_5,2.43804669380188
184,PA_SWK_N_5,2.438586711883545
185,TC_FAGE_12,2.4392874240875244
186,F_CS_F02_2,2.4428412914276123
187,PA_SWK_N_1,2.44785475730896
188,PA_MSC_3,2.448824882507324
189,TC_GHW_H_1,2.449084758758545
190,V_TRT_4,2.4552223682403564
191,DR_EXP_1,2.456058979034424
192,TC_FAGE_5,2.456216335296631
193,PA_PE_FQ_2,2.4616897106170654
194,PA_SWD_N_0,2.463245391845703
195,F_WAT_1,2.4744296073913574
196,PA_SWK_S_1,2.474952220916748
197,TC_DAYS_3,2.478178024291992
198,WC_MN_M09_1,2.4866373538970947
199,PA_SWD_S_0,2.490975856781006
200,PA_PE_FQ_1,2.4928321838378906
201,TC_DAYS_7,2.4981980323791504
202,PA_SWK_N_3,2.50337815284729
203,S_SI_2,2.506830930709839
204,AC_DRUNK_3,2.508028268814087
205,AC_DRUNK_1,2.511434555053711
206,PA_SWK_N_2,2.513692855834961
207,PA_MSC_2,2.518876314163208
208,F_CS_F10_10,2.519943952560425
209,HW_SPGO_H_4,2.523205518722534
210,AS_DG_LT_2,2.527512788772583
211,PA_TOT_2,2.5308449268341064
212,PA_TOT_4,2.5383286476135254
213,F_CS_4,2.542360305786133
214,AC_DAYS_7,2.5440080165863037
215,F_WAT_4,2.5442051887512207
216,TC_HTP_LT_2,2.550260305404663
217,S_CONT_M_5,2.5587875843048096
218,AS_DG_YR_2,2.5619280338287354
219,PA_TOT_3,2.562006711959839
220,TC_EC_MN_4,2.5622828006744385
221,TC_AMNT_2,2.5625343322753906
222,TC_FAGE_2,2.5627076625823975
223,TC_HTP_MN_1,2.568930149078369
224,TC_EC_MN_3,2.5690653324127197
225,INT_WD_MM_4,2.570916175842285
226,TC_GHW_2,2.5769970417022705
227,AS_DG_YR_1,2.577939033508301
228,TC_FAGE_1,2.5815391540527344
229,S_CONT_4,2.582597017288208
230,F_CS_F01_1,2.583714723587036
231,WC_MN_M01_0,2.5851547718048096
232,TC_EC_MN_2,2.5893137454986572
233,INT_WK_MM_9,2.593529224395752
234,F_CS_F06_9999,2.599942922592163
235,F_CS_F02_9999,2.600249767303467
236,WC_MN_2,2.60113263130188
237,WC_MN_M05_1,2.6038873195648193
238,PA_TRA_MM_0,2.609074831008911
239,WC_MN_M04_1,2.6132237911224365
240,F_CS_5,2.61940860748291
241,PA_PE_FQ_3,2.619696617126465
242,TC_AMNT_1,2.6255416870117188
243,E_SES_5,2.626695394515991
244,TC_HTP_MN_2,2.628023147583008
245,F_CS_F03_9999,2.6292901039123535
246,F_CS_F09_9999,2.6306231021881104
247,TC_EC_MN_5,2.6343111991882324
248,F_MILK_1,2.6345527172088623
249,TC_EC_MN_7,2.644982099533081
250,WC_MN_M03_1,2.6450185775756836
251,F_CAFFEINE_3,2.651975393295288
252,PR_HT_5,2.6557412147521973
253,PA_TOT_1,2.6632161140441895
254,PA_VIG_3,2.664440870285034
255,DR_LT_1,2.6708312034606934
256,TC_FAGE_13,2.67104434967041
257,F_CS_F10_9999,2.6740264892578125
258,WC_MN_M07_1,2.6743104457855225
259,PA_SWK_S_0,2.6755666732788086
260,TC_GHW_H_3,2.6804158687591553
261,S_EDU_1,2.683657646179199
262,TC_AMNT_3,2.686382532119751
263,F_CS_F11_9999,2.698784589767456
264,PA_VIG_2,2.6997320652008057
265,E_RES_2,2.700723648071289
266,S_CONT_1,2.702850341796875
267,TC_ACCESS_3,2.708778142929077
268,F_MILK_2,2.7107925415039062
269,WC_MN_M04_0,2.7134273052215576
270,TC_GHW_QT_1,2.716369867324829
271,F_MILK_6,2.7191457748413086
272,WC_MN_M01_1,2.72274112701416
273,F_CS_F01_9999,2.728325366973877
274,TC_GHW_H_2,2.7325830459594727
275,F_CS_F12_9999,2.734522581100464
276,F_WAT_5,2.7368080615997314
277,PA_ST_1,2.737473726272583
278,F_FASTFOOD_1,2.7379441261291504
279,WC_MN_M02_0,2.742936372756958
280,F_CAFFEINE_6,2.7540500164031982
281,F_CAFFEINE_4,2.762183427810669
282,F_VEG_6,2.7641496658325195
283,TC_DAGE_10,2.767209768295288
284,AC_DRUNK_4,2.7717037200927734
285,PA_WLK_MM_0,2.7798006534576416
286,TC_DAGE_11,2.7799618244171143
287,F_VEG_3,2.7836902141571045
288,TC_ACCESS_5,2.785222053527832
289,TC_HTP_MN_3,2.793194055557251
290,DR_EXP_2,2.80745005607605
291,TC_ACCESS_4,2.807791233062744
292,RH_DG_LT_2,2.8080785274505615
293,TC_DAGE_9,2.8131988048553467
294,WC_MN_M06_1,2.8181090354919434
295,F_FASTFOOD_6,2.8221383094787598
296,F_MILK_7,2.8231303691864014
297,F_CAFFEINE_5,2.8235654830932617
298,F_EDU_1,2.8242859840393066
299,TC_QT_YR_1,2.827800750732422
300,TC_GHW_H_4,2.8306610584259033
301,TC_EC_MN_6,2.8375089168548584
302,WC_MN_M05_0,2.838439464569092
303,TC_AMNT_4,2.8424618244171143
304,TC_HTP_MN_5,2.8464605808258057
305,F_CS_F12_12,2.847174644470215
306,E_RES_4,2.8481099605560303
307,F_VEG_7,2.852299690246582
308,TC_HTP_MN_4,2.8550946712493896
309,PA_MSC_1,2.861351251602173
310,TC_DAGE_5,2.8617186546325684
311,F_VEG_1,2.862095832824707
312,S_CONT_M_6,2.8713650703430176
313,TC_DAGE_7,2.8756778240203857
314,F_SWDRINK_1,2.8796699047088623
315,PA_VIG_1,2.881129026412964
316,WC_MN_M06_0,2.888815402984619
317,E_RES_3,2.897094964981079
318,RH_DG_YR_1,2.9012608528137207
319,S_CONT_2,2.902250289916992
320,INT_WK_MM_8,2.908268451690674
321,F_SODA_6,2.90981388092041
322,F_CS_6,2.9115419387817383
323,AGE_18,2.9121882915496826
324,F_CAFFEINE_1,2.9129388332366943
325,TC_GHW_QT_3,2.916344404220581
326,TC_HTP_MN_7,2.91912841796875
327,ECZ_DG_YR_2,2.9249606132507324
328,TC_QT_YR_2,2.9296226501464844
329,INT_WD_MM_5,2.929884433746338
330,TC_AMNT_5,2.9435887336730957
331,TC_DAGE_8,2.952315092086792
332,TC_DAGE_6,2.9535889625549316
333,F_SWDRINK_2,2.954955577850342
334,S_CONT_M_2,2.973217725753784
335,TC_DAGE_12,2.976731061935425
336,INT_WK_MM_7,2.988757848739624
337,F_SODA_1,2.9920947551727295
338,F_FRUIT_2,2.993332862854004
339,F_SODA_5,2.9953672885894775
340,TC_GHW_QT_2,2.9959166049957275
341,TC_AMNT_6,2.9982118606567383
342,F_SODA_3,3.005333185195923
343,F_SODA_2,3.01468825340271
344,WC_MN_M07_0,3.0183019638061523
345,E_FM_F_1_9999,3.027820110321045
346,F_FRUIT_1,3.0347254276275635
347,S_CONT_M_3,3.0453526973724365
348,S_CONT_3,3.0547170639038086
349,INT_WK_MM_6,3.055321455001831
350,F_SWDRINK_6,3.071990489959717
351,F_CS_7,3.0838072299957275
352,TC_DAGE_13,3.08913516998291
353,INT_WK_MM_5,3.0916755199432373
354,F_CAFFEINE_7,3.101154327392578
355,INT_WD_MM_3,3.104107141494751
356,F_FASTFOOD_5,3.1129965782165527
357,INT_WK_MM_10,3.120041608810425
358,ECZ_DG_YR_1,3.1216259002685547
359,F_SWDRINK_7,3.1233744621276855
360,F_SODA_7,3.1293857097625732
361,F_BR_1,3.1414430141448975
362,F_BR_2,3.1471199989318848
363,PR_BI_4,3.169133186340332
364,ECZ_DG_LT_2,3.171597480773926
365,TC_GHW_QT_4,3.177375555038452
366,TC_HTP_MN_6,3.1834256649017334
367,F_BR_3,3.1913559436798096
368,F_BR_5,3.21293306350708
369,E_SES_4,3.2319931983947754
370,WC_MN_M08_0,3.2412071228027344
371,PR_BI_5,3.2455894947052
372,E_S_RCRD_5,3.256971597671509
373,INT_WK_MM_4,3.3178884983062744
374,F_FASTFOOD_7,3.3351500034332275
375,PR_HT_4,3.450981616973877
376,DR_LT_2,3.46975040435791
377,E_SES_1,3.4953620433807373
378,PR_HT_3,3.5534770488739014
379,WC_MN_M09_0,3.5980727672576904
380,E_S_RCRD_1,3.6248700618743896
381,E_FM_GF_5_5,3.6252946853637695
382,E_S_RCRD_4,3.7769570350646973
383,E_FM_OBS_7_7,3.786625385284424
384,TC_DAGE_1,3.819147825241089
385,DR_LT_3,3.8473360538482666
386,WC_MN_M10_0,4.2061309814453125
387,E_LT_M_1,5.124727725982666
388,E_LT_SM_9999,5.364778995513916
389,E_EDU_F_3,7.200413227081299
390,E_EDU_F_2,7.351967811584473
391,E_KRN_F_1,7.887862205505371
392,E_EDU_F_4,8.02912425994873
393,E_BORN_F_9999,10.473773002624512
