,Variables,Euclidean distance,Variables,Euclidean distance
0,BMI_1,0.0,BMI_0,0.0
1,I_SB_EX_1,1.2903470993041992,O_SYMP1_1_9999,1.168756127357483
2,I_SB_EX_3,1.3841406106948853,I_SCH_ED1_9999,1.171147346496582
3,I_SB_EX_4,1.385768175125122,O_OCP4_9999,1.183526873588562
4,O_OCP4_4,1.396366834640503,O_OCP3_9999,1.224654197692871
5,I_SB_EX_5,1.4045501947402954,O_SYMP2_1,1.2346333265304565
6,O_BR_S_2,1.4862289428710938,I_SB_EX_2,1.2562757730484009
7,O_DC_FQ_1,1.500120997428894,O_SYMP2_0,1.3119964599609375
8,O_BR_S_1,1.511643886566162,O_SLNT_1,1.314439058303833
9,I_SB_FR_4,1.5119792222976685,O_SLNT_2,1.3149172067642212
10,O_BR_SLP_2,1.5453873872756958,PR_OH_2,1.3152368068695068
11,I_SB_FR_1,1.5882174968719482,O_SYMP5_0,1.33687162399292
12,PR_OH_1,1.5987286567687988,O_OCP1_9999,1.3564817905426025
13,AC_FAGE_8,1.6791678667068481,I_SCH_TRT_1,1.3583322763442993
14,O_BR_FQ_10,1.6840105056762695,O_SCL_1,1.359458565711975
15,V_TRT_2,1.6934202909469604,O_SCL_2,1.3642598390579224
16,M_SAD_2,1.7031128406524658,O_SYMP1_0,1.3712025880813599
17,AC_ACCESS_2,1.7449835538864136,I_SB_FR_2,1.3895349502563477
18,AC_FAGE_1,1.7599856853485107,O_OCP3_3,1.3908804655075073
19,I_SB_FR_5,1.7629480361938477,O_OCP2_9999,1.3932734727859497
20,O_BR_FQ_2,1.7675522565841675,TC_LT_1,1.4030033349990845
21,M_SUI_CON_2,1.7801318168640137,PR_OH_3,1.4105455875396729
22,O_BR_FQ_5,1.7920962572097778,O_DC_FQ_3,1.410859227180481
23,HW_S_R_6,1.7922333478927612,I_SCH_TRT_2,1.4141350984573364
24,HW_S_R_9,1.8096928596496582,AC_ACCESS_1,1.4296751022338867
25,M_SLP_EN_1,1.8426743745803833,TC_EC_LT_1,1.430771827697754
26,AC_FAGE_7,1.8466497659683228,AC_AMNT_9999,1.4312583208084106
27,HW_S_R_8,1.846674919128418,O_DC_FQ_2,1.4388076066970825
28,O_BR_FQ_6,1.8497421741485596,O_BR_SLP_1,1.4481263160705566
29,AC_FAGE_4,1.8518266677856445,AC_DRUNK_9999,1.4505895376205444
30,AC_FAGE_5,1.8567607402801514,O_OCP2_2,1.4607932567596436
31,AC_FAGE_6,1.8713912963867188,M_SUI_PLN_1,1.4648643732070923
32,HW_S_R_5,1.8909239768981934,TC_DAYS_9999,1.47890305519104
33,PR_OH_5,1.8942975997924805,O_OCP1_1,1.4912453889846802
34,AC_FAGE_10,1.895912528038025,O_BR_S_3,1.499776005744934
35,M_SUI_PLN_2,1.898003339767456,TC_EC_MN_9999,1.5052316188812256
36,I_SB_BK_1,1.9015697240829468,M_SUI_CON_1,1.5123835802078247
37,HW_S_R_4,1.9041296243667603,M_SUI_ATT_1,1.5156712532043457
38,M_SLP_EN_3,1.9102951288223267,O_DC_FQ_5,1.5198519229888916
39,HW_S_R_7,1.9172757863998413,I_SB_FR_3,1.52097487449646
40,O_BR_FQ_8,1.9196745157241821,V_TRT_1,1.525498628616333
41,M_SLP_EN_4,1.9244329929351807,TC_HTP_LT_1,1.526053547859192
42,HW_S_R_1,1.9271658658981323,PR_OH_4,1.535853624343872
43,M_SLP_EN_5,1.9675222635269165,O_SYMP3_1,1.5505640506744385
44,O_BR_SLP_3,1.974151372909546,M_SAD_1,1.5593281984329224
45,AC_FAGE_3,1.9756712913513184,O_DC_FQ_4,1.5699297189712524
46,AC_FAGE_12,1.9780696630477905,TC_HTP_MN_9999,1.5699602365493774
47,TC_ACCESS_2,1.980925440788269,O_BR_S_4,1.5712025165557861
48,TC_SND_H_6,1.9874545335769653,O_SYMP4_1,1.5731127262115479
49,AC_DAYS_5,2.0047099590301514,O_SYMP1_1,1.5811866521835327
50,O_SYMP6_1,2.005007743835449,O_SYMP5_1,1.6030062437057495
51,I_SB_BK_5,2.007183790206909,O_SYMP3_0,1.6240564584732056
52,O_BR_FQ_1,2.011831521987915,O_SYMP1_1_0,1.6454291343688965
53,TC_SND_H_5,2.0142569541931152,I_SCH_ED5_9999,1.6592053174972534
54,AC_FAGE_2,2.0143966674804688,AC_LT_1,1.6788368225097656
55,M_SUI_ATT_2,2.021031141281128,O_SYMP4_0,1.6950359344482422
56,TC_SND_S_2,2.02579402923584,TC_AMNT_9999,1.7019187211990356
57,AC_DAYS_3,2.0349249839782715,I_SCH_ED4_9999,1.7108592987060547
58,M_STR_2,2.0432310104370117,TC_DAGE_9999,1.7110929489135742
59,HW_SPRM_S_4,2.0491080284118652,O_SYMP1_1_1,1.749207615852356
60,TC_SND_H_7,2.0539941787719727,AC_FAGE_9999,1.7559789419174194
61,WC_MN_M02_1,2.0545549392700195,O_BR_FQ_3,1.823093056678772
62,TC_SND_H_4,2.0617477893829346,TC_ACCESS_1,1.8281065225601196
63,AC_FAGE_13,2.063647747039795,O_BR_FQ_4,1.8390414714813232
64,M_STR_1,2.070183515548706,TC_FAGE_9999,1.8542442321777344
65,AC_DAYS_4,2.070805072784424,HW_EDU_1,1.8687819242477417
66,TC_SND_H_8,2.081801414489746,O_EDU_1,1.8788117170333862
67,O_BR_FQ_9,2.0819578170776367,TC_QT_YR_9999,1.8804445266723633
68,O_BR_FQ_7,2.0878119468688965,M_SLP_EN_2,1.8817486763000488
69,TC_SND_H_3,2.089014768600464,I_SB_BK_3,1.8963758945465088
70,TC_SND_S_3,2.1019630432128906,HW_S_R_3,1.9204457998275757
71,TC_SND_S_5,2.10327410697937,I_SCH_ED4_4,1.9397975206375122
72,PA_TRA_5,2.109969139099121,I_SCH_ED5_5,1.9441372156143188
73,I_SCH_ED1_1,2.1135692596435547,AC_FAGE_9,1.9467618465423584
74,V_TRT_5,2.1135971546173096,O_SYMP6_0,1.946953296661377
75,TC_SND_S_4,2.1144347190856934,I_SB_BK_4,1.9484411478042603
76,TC_SND_H_2,2.1176624298095703,O_OCP5_5,1.950432300567627
77,PA_SWK_S_10,2.1181952953338623,I_SCH_ED2_2,1.9550460577011108
78,PA_TRA_MM_2,2.1263723373413086,HW_EDU_2,1.968032956123352
79,TC_SND_S_6,2.1358883380889893,O_OCP5_9999,1.9708983898162842
80,PA_SWD_N_6,2.1368837356567383,AC_LT_2,1.979280710220337
81,AC_AMNT_2,2.144076108932495,M_STR_5,1.9817607402801514
82,V_TRT_3,2.1490869522094727,HW_S_R_2,1.9830843210220337
83,PA_TRA_7,2.153334379196167,HW_SPRM_S_3,1.9870195388793945
84,PA_ST_5,2.1558117866516113,I_SB_BK_2,1.9936903715133667
85,PA_SWD_S_13,2.156785249710083,E_BORN_F_10,1.9993051290512085
86,PA_WLK_MM_3,2.1579089164733887,I_SCH_ED3_3,2.0003700256347656
87,PA_SWK_S_7,2.1593806743621826,HW_SPML_S_3,2.0012240409851074
88,HW_S_R_10,2.1599984169006348,AC_FAGE_11,2.003567934036255
89,PA_ST_4,2.163419008255005,M_STR_4,2.011190176010132
90,AC_ACCESS_3,2.1688733100891113,I_SCH_ED2_9999,2.0264573097229004
91,PA_WLK_5,2.170003652572632,O_EDU_2,2.0280635356903076
92,PA_SWK_N_8,2.1723315715789795,HW_SPRM_S_2,2.0295958518981934
93,WC_MN_M08_1,2.1725850105285645,HW_SPML_H_3,2.036104917526245
94,PA_SWK_S_6,2.1737611293792725,HW_SPML_S_2,2.065819025039673
95,I_SCH_ED3_9999,2.1741554737091064,M_STR_3,2.0700268745422363
96,PA_TRA_2,2.1753714084625244,E_BORN_M_7,2.076920509338379
97,V_TRT_7,2.178156614303589,HW_SPRM_H_2,2.077054023742676
98,HW_SPML_H_4,2.179199695587158,HW_SPML_H_2,2.086467742919922
99,AC_DAYS_2,2.1795170307159424,HW_SPRM_S_1,2.087712526321411
100,TC_SND_P_6,2.181863784790039,HW_SPGO_H_1,2.1044697761535645
101,AC_AMNT_5,2.1821517944335938,HW_SPGO_H_2,2.1061360836029053
102,AC_AMNT_3,2.185028076171875,HW_SPRM_H_1,2.1318604946136475
103,AC_ACCESS_5,2.185436248779297,HW_SPML_S_4,2.152384042739868
104,PA_SWK_S_8,2.1890242099761963,AC_DAYS_9999,2.163618326187134
105,PA_WLK_4,2.1897077560424805,TC_SND_H_1,2.1659629344940186
106,PA_TRA_MM_3,2.193122625350952,TC_DAYS_1,2.1675732135772705
107,PA_SWK_N_7,2.1979498863220215,HW_SPGO_H_3,2.177471876144409
108,PA_SWK_S_9,2.2038848400115967,PA_WLK_MM_4,2.1813292503356934
109,PA_WLK_7,2.209831476211548,HW_SPRM_H_3,2.190030813217163
110,PA_SWK_N_9,2.2100701332092285,HW_SPML_S_1,2.2091851234436035
111,AC_DRUNK_2,2.213701009750366,AC_DAYS_1,2.213892936706543
112,PA_SWD_S_11,2.2179036140441895,HW_SPML_H_1,2.2481865882873535
113,PA_TRA_3,2.2185277938842773,PA_WLK_MM_2,2.2519824504852295
114,AC_ACCESS_4,2.223266839981079,TC_LT_2,2.276078939437866
115,F_CS_F08_8,2.2237861156463623,S_SI_1,2.281273126602173
116,PA_TRA_4,2.2241408824920654,TC_SND_P_1,2.30657958984375
117,PA_SWD_S_12,2.230233907699585,PA_TOT_7,2.3229262828826904
118,AC_AMNT_4,2.2332913875579834,TC_SND_S_1,2.3248109817504883
119,PA_SWK_N_10,2.235612154006958,E_BORN_F_8,2.338833808898926
120,PA_WLK_3,2.2407469749450684,F_CS_F05_5,2.407555341720581
121,PA_SWD_S_5,2.2454347610473633,PA_TOT_6,2.42114520072937
